,bigrams,count
205,"('inchcallsmessagesmissed', 'callget')",1
206,"('callget', 'hep')",1
207,"('hep', 'immunisation')",1
208,"('immunisation', 'nigeriafair')",1
209,"('nigeriafair', 'enough')",1
210,"('enough', 'anything')",1
211,"('anything', 'goingyeah')",1
212,"('goingyeah', 'hopefully')",1
213,"('hopefully', 'tyler')",1
214,"('tyler', 'cannot')",1
215,"('cannot', 'could')",1
216,"('could', 'maybe')",1
217,"('maybe', 'ask')",1
218,"('ask', 'around')",1
219,"('around', 'bitknow')",1
220,"('bitknow', 'stubborn')",1
221,"('stubborn', 'even')",1
222,"('even', 'want')",1
223,"('want', 'hospital')",1
224,"('hospital', 'kept')",1
225,"('kept', 'telling')",2
226,"('telling', 'mark')",1
227,"('mark', 'weak')",1
228,"('weak', 'sucker')",1
229,"('sucker', 'hospital')",1
230,"('hospital', 'weak')",1
231,"('weak', 'suckerthanked')",1
232,"('suckerthanked', 'first')",1
233,"('first', 'time')",5
234,"('time', 'saw')",2
235,"('saw', 'classgram')",1
236,"('classgram', 'usually')",1
237,"('usually', 'run')",1
238,"('run', 'like')",1
239,"('like', 'list')",10
240,"('list', 'half')",1
241,"('half', 'eighth')",1
242,"('eighth', 'smarter')",1
243,"('smarter', 'though')",1
244,"('though', 'get')",2
245,"('get', 'almost')",1
246,"('almost', 'whole')",1
247,"('whole', 'second')",1
248,"('second', 'gram')",1
249,"('gram', 'listfri')",1
250,"('listfri', 'ride')",1
251,"('ride', 'early')",1
252,"('early', 'tomorrow')",2
253,"('tomorrow', 'morning')",2
254,"('morning', 'crashing')",1
255,"('crashing', 'place')",1
256,"('place', 'tonightwow')",1
257,"('tonightwow', 'never')",1
258,"('never', 'realized')",1
259,"('realized', 'embarrassed')",1
260,"('embarrassed', 'accommodation')",1
261,"('accommodation', 'thought')",1
262,"('thought', 'liked')",1
263,"('liked', 'since')",1
264,"('since', 'best')",1
265,"('best', 'could')",1
266,"('could', 'always')",1
267,"('always', 'seemed')",1
268,"('seemed', 'happy')",1
269,"('happy', 'cave')",1
270,"('cave', 'sorry')",1
271,"('sorry', 'give')",1
272,"('give', 'sorry')",1
273,"('sorry', 'offered')",1
274,"('offered', 'sorry')",1
275,"('sorry', 'room')",1
276,"('room', 'embarrassingknow')",1
277,"('embarrassingknow', 'gallia')",1
278,"('gallia', 'sherman')",1
279,"('sherman', 'yesterday')",1
280,"('yesterday', 'find')",1
281,"('find', 'laurentsorry')",1
282,"('laurentsorry', 'call')",1
283,"('call', 'later')",11
284,"('later', 'meetingtell')",1
285,"('meetingtell', 'reachedyesgauti')",1
286,"('reachedyesgauti', 'sewage')",1
287,"('sewage', 'odd')",1
288,"('odd', 'seriesgonna')",1
289,"('seriesgonna', 'pick')",1
290,"('pick', 'burger')",1
291,"('burger', 'way')",1
292,"('way', 'home')",2
293,"('home', 'cannot')",1
294,"('cannot', 'even')",3
295,"('even', 'move')",1
296,"('move', 'pain')",1
297,"('pain', 'killinggood')",1
298,"('killinggood', 'joke')",1
299,"('joke', 'girl')",1
300,"('girl', 'situation')",1
301,"('situation', 'seekerpart')",1
302,"('seekerpart', 'checkingsorry')",1
303,"('checkingsorry', 'roommate')",1
304,"('roommate', 'took')",1
305,"('took', 'forever')",1
306,"('forever', 'comelar')",1
307,"('comelar', 'double')",1
308,"('double', 'check')",2
309,"('check', 'hair')",1
310,"('hair', 'dresser')",3
311,"('dresser', 'already')",1
312,"('already', 'said')",1
313,"('said', 'sun')",1
314,"('sun', 'cut')",1
315,"('cut', 'short')",2
316,"('short', 'said')",1
317,"('said', 'cut')",1
318,"('cut', 'look')",1
319,"('look', 'nicetoday')",1
320,"('nicetoday', 'song')",1
321,"('song', 'dedicated')",2
322,"('dedicated', 'day')",2
323,"('day', 'song')",2
324,"('song', 'dedicate')",2
325,"('dedicate', 'send')",2
326,"('send', 'valuable')",2
327,"('valuable', 'fund')",2
328,"('fund', 'first')",2
329,"('first', 'replyplane')",1
330,"('replyplane', 'give')",1
331,"('give', 'month')",1
332,"('month', 'endlucky')",1
333,"('endlucky', 'man')",1
334,"('man', 'save')",1
335,"('save', 'moneyfinished')",1
336,"('moneyfinished', 'classbabe')",1
337,"('classbabe', 'home')",1
338,"('home', 'wanna')",3
339,"('wanna', 'something')",3
340,"('something', 'xxxperformedcallwaiting')",1
341,"('xxxperformedcallwaiting', 'machine')",1
342,"('machine', 'call')",1
343,"('call', 'freecool')",1
344,"('freecool', 'gentleman')",1
345,"('gentleman', 'treat')",2
346,"('treat', 'dignity')",3
347,"('dignity', 'respectlike')",1
348,"('respectlike', 'people')",1
349,"('people', 'much')",1
350,"('much', 'shyoperate')",1
351,"('shyoperate', 'liststill')",1
352,"('liststill', 'looking')",1
353,"('looking', 'job')",1
354,"('job', 'much')",1
355,"('much', 'earnsorry')",1
356,"('earnsorry', 'call')",1
357,"('call', 'latercallway')",1
358,"('latercallway', 'homeplace')",1
359,"('homeplace', 'manyup')",1
360,"('manyup', 'next')",1
361,"('next', 'stopcall')",1
362,"('stopcall', 'later')",1
363,"('later', 'network')",2
364,"('network', 'urgent')",2
365,"('urgent', 'simsreal')",1
366,"('simsreal', 'getting')",1
367,"('getting', 'need')",1
368,"('need', 'ticket')",1
369,"('ticket', 'one')",1
370,"('one', 'jacket')",1
371,"('jacket', 'done')",1
372,"('done', 'already')",1
373,"('already', 'used')",1
374,"('used', 'multiyes')",1
375,"('multiyes', 'started')",1
376,"('started', 'send')",1
377,"('send', 'request')",1
378,"('request', 'make')",1
379,"('make', 'pain')",1
380,"('pain', 'came')",1
381,"('came', 'back')",3
382,"('back', 'back')",1
383,"('back', 'bed')",2
384,"('bed', 'double')",1
385,"('double', 'coin')",2
386,"('coin', 'factory')",1
387,"('factory', 'gotta')",1
388,"('gotta', 'cash')",1
389,"('cash', 'nitroreally')",1
390,"('nitroreally', 'still')",1
391,"('still', 'tonight')",2
392,"('tonight', 'babehanoi')",1
393,"('babehanoi', 'download')",1
394,"('download', 'come')",1
395,"('come', 'wen')",1
396,"('wen', 'freeyeah')",1
397,"('freeyeah', 'stand')",1
398,"('stand', 'close')",1
399,"('close', 'tho')",1
400,"('tho', 'catch')",1
401,"('catch', 'somethingsorry')",1
402,"('somethingsorry', 'pain')",1
403,"('pain', 'meet')",1
404,"('meet', 'another')",1
405,"('another', 'night')",2
406,"('night', 'spent')",1
407,"('spent', 'late')",1
408,"('late', 'afternoon')",1
409,"('afternoon', 'casualty')",1
410,"('casualty', 'mean')",1
411,"('mean', 'done')",1
412,"('done', 'stuff<num>moro')",1
413,"('stuff<num>moro', 'includes')",1
414,"('includes', 'time')",1
415,"('time', 'sheet')",1
416,"('sheet', 'sorrysmile')",1
417,"('sorrysmile', 'pleasure')",1
418,"('pleasure', 'smile')",2
419,"('smile', 'pain')",2
420,"('pain', 'smile')",2
421,"('smile', 'trouble')",2
422,"('trouble', 'pours')",2
423,"('pours', 'like')",2
424,"('like', 'rain')",3
425,"('rain', 'smile')",2
426,"('smile', 'sum')",2
427,"('sum', 'hurt')",2
428,"('hurt', 'smile')",2
429,"('smile', 'someone')",2
430,"('someone', 'still')",2
431,"('still', 'love')",2
432,"('love', 'see')",3
433,"('see', 'smilingplanning')",1
434,"('smilingplanning', 'buy')",1
435,"('buy', 'later')",1
436,"('later', 'check')",1
437,"('check', 'already')",1
438,"('already', 'lido')",1
439,"('lido', 'got')",1
440,"('got', 'show')",1
441,"('show', 'afternoon')",2
442,"('afternoon', 'finish')",1
443,"('finish', 'work')",1
444,"('work', 'alreadywatching')",1
445,"('alreadywatching', 'telugu')",1
446,"('telugu', 'moviesee')",1
447,"('moviesee', 'finish')",1
448,"('finish', 'load')",1
449,"('load', 'loan')",1
450,"('loan', 'payhols')",1
451,"('payhols', 'yes')",1
452,"('yes', 'bit')",1
453,"('bit', 'run')",1
454,"('run', 'forgot')",1
455,"('forgot', 'hairdresser')",1
456,"('hairdresser', 'appointment')",1
457,"('appointment', 'four')",1
458,"('four', 'need')",1
459,"('need', 'get')",5
460,"('get', 'home')",4
461,"('home', 'shower')",1
462,"('shower', 'beforehand')",1
463,"('beforehand', 'cause')",1
464,"('cause', 'probsee')",1
465,"('probsee', 'cup')",1
466,"('cup', 'coffee')",1
467,"('coffee', 'animationplease')",1
468,"('animationplease', 'text')",1
469,"('text', 'anymore')",1
470,"('anymore', 'nothing')",1
471,"('nothing', 'else')",1
472,"('else', 'sayokay')",1
473,"('sayokay', 'name')",1
474,"('name', 'price')",1
475,"('price', 'long')",1
476,"('long', 'legal')",1
477,"('legal', 'wen')",1
478,"('wen', 'pick')",1
479,"('pick', 'ave')",1
480,"('ave', 'xxxstill')",1
481,"('xxxstill', 'looking')",1
482,"('looking', 'car')",1
483,"('car', 'buy')",1
484,"('buy', 'gone')",1
485,"('gone', 'driving')",1
486,"('driving', 'test')",1
487,"('test', 'yetper')",1
488,"('yetper', 'request')",1
489,"('friend', 'callertunewow')",1
490,"('callertunewow', 'right')",1
491,"('right', 'mean')",1
492,"('mean', 'guess')",1
493,"('guess', 'gave')",1
494,"('gave', 'boston')",1
495,"('boston', 'men')",1
496,"('men', 'changed')",1
497,"('changed', 'search')",1
498,"('search', 'location')",1
499,"('location', 'nyx')",1
500,"('nyx', 'something')",1
501,"('something', 'changed')",1
502,"('changed', 'cut')",1
503,"('cut', 'signing')",1
504,"('signing', 'page')",1
505,"('page', 'still')",1
506,"('still', 'say')",2
507,"('say', 'bostonemma')",1
508,"('bostonemma', 'life')",1
509,"('life', 'java')",1
510,"('java', 'emma')",1
511,"('emma', 'love')",1
512,"('love', 'lot')",1
513,"('lot', 'dearthanks')",1
514,"('dearthanks', 'lot')",1
515,"('lot', 'wish')",1
516,"('wish', 'birthday')",1
517,"('birthday', 'thanks')",1
518,"('thanks', 'making')",2
519,"('making', 'birthday')",1
520,"('birthday', 'truly')",1
521,"('truly', 'memorableright')",1
522,"('memorableright', 'hit')",1
523,"('hit', 'get')",1
524,"('get', 'cashwould')",1
525,"('cashwould', 'address')",1
526,"('address', 'test')",1
527,"('test', 'considering')",1
528,"('considering', 'computer')",1
529,"('computer', 'mineshaft')",1
530,"('mineshaft', 'serverknow')",1
531,"('serverknow', 'grumpy')",1
532,"('grumpy', 'old')",1
533,"('old', 'people')",1
534,"('people', 'mon')",1
535,"('mon', 'like')",1
536,"('like', 'better')",1
537,"('better', 'lying')",1
538,"('lying', 'always')",1
539,"('always', 'one')",3
540,"('one', 'play')",1
541,"('play', 'jokedone')",1
542,"('jokedone', 'worry')",1
543,"('worry', 'guess')",1
544,"('guess', 'busyplural')",1
545,"('busyplural', 'noun')",1
546,"('noun', 'researchgoing')",1
547,"('researchgoing', 'dinnerlike')",1
548,"('dinnerlike', 'try')",1
549,"('try', 'new')",2
550,"('new', 'thing')",1
551,"('thing', 'scared')",1
552,"('scared', 'dun')",2
553,"('dun', 'like')",3
554,"('like', 'may')",1
555,"('may', 'said')",1
556,"('said', 'loudopening')",1
557,"('loudopening', 'sentence')",1
558,"('sentence', 'formal')",1
559,"('formal', 'anyway')",1
560,"('anyway', 'fine')",1
561,"('fine', 'jul')",1
562,"('jul', 'latin')",1
563,"('latin', 'much')",1
564,"('much', 'putting')",1
565,"('putting', 'weighthaha')",1
566,"('weighthaha', 'anything')",1
567,"('anything', 'special')",1
568,"('special', 'happenedentered')",1
569,"('happenedentered', 'cabin')",1
570,"('cabin', 'said')",5
571,"('said', 'happy')",6
572,"('happy', 'would')",5
573,"('would', 'bos')",5
574,"('bos', 'felt')",5
575,"('felt', 'special')",5
576,"('special', 'ask')",5
577,"('ask', 'lunch')",5
578,"('lunch', 'lunch')",5
579,"('lunch', 'invited')",5
580,"('invited', 'apartment')",5
581,"('apartment', 'wentgood')",1
582,"('wentgood', 'yes')",1
583,"('yes', 'must')",1
584,"('must', 'speak')",1
585,"('speak', 'friday')",1
586,"('friday', 'potato')",1
587,"('potato', 'ratio')",1
588,"('ratio', 'tortilla')",1
589,"('tortilla', 'neededhammy')",1
590,"('neededhammy', 'uncle')",1
591,"('uncle', 'informed')",1
592,"('informed', 'paying')",1
593,"('paying', 'school')",1
594,"('school', 'directly')",1
595,"('directly', 'plus')",1
596,"('plus', 'buy')",1
597,"('buy', 'foodnew')",1
598,"('foodnew', 'address')",1
599,"('address', 'applespairsall')",1
600,"('applespairsall', 'malarkeygoing')",1
601,"('malarkeygoing', 'today')",1
602,"('today', 'donepredict')",1
603,"('donepredict', 'wat')",1
604,"('wat', 'time')",11
605,"('time', 'finish')",4
606,"('finish', 'buyinggood')",1
607,"('buyinggood', 'stuffknowyetunde')",1
608,"('stuffknowyetunde', 'sent')",1
609,"('sent', 'money')",1
610,"('money', 'yet')",1
611,"('yet', 'sent')",1
612,"('sent', 'text')",2
613,"('text', 'bother')",1
614,"('bother', 'sending')",1
615,"('sending', 'done')",1
616,"('done', 'involve')",1
617,"('involve', 'anything')",1
618,"('anything', 'imposed')",1
619,"('imposed', 'anything')",1
620,"('anything', 'first')",1
621,"('first', 'place')",1
622,"('place', 'apologiseroomhey')",1
623,"('apologiseroomhey', 'girl')",1
624,"('girl', 'hope')",2
625,"('hope', 'well')",3
626,"('well', 'del')",1
627,"('del', 'back')",1
628,"('back', 'long')",1
629,"('long', 'time')",2
630,"('time', 'give')",4
631,"('give', 'call')",10
632,"('call', 'sum')",1
633,"('sum', 'time')",1
634,"('time', 'lucymuch')",1
635,"('lucymuch', 'costhomedear')",1
636,"('costhomedear', 'call')",1
637,"('call', 'tomorrow')",4
638,"('tomorrow', 'accommodatefirst')",1
639,"('accommodatefirst', 'answer')",1
640,"('answer', 'questionman')",1
641,"('questionman', 'yijuehotmailcomcall')",1
642,"('yijuehotmailcomcall', 'meetcheck')",1
643,"('meetcheck', 'room')",1
644,"('room', 'activitygot')",1
645,"('activitygot', 'lazy')",1
646,"('lazy', 'type')",1
647,"('type', 'forgot')",1
648,"('forgot', 'lect')",1
649,"('lect', 'saw')",1
650,"('saw', 'pouch')",1
651,"('pouch', 'like')",1
652,"('like', 'nicetext')",1
653,"('nicetext', 'waysir')",1
654,"('waysir', 'waiting')",1
655,"('waiting', 'mailset')",1
656,"('mailset', 'thought')",1
657,"('thought', 'get')",2
658,"('get', 'tired')",1
659,"('tired', 'little')",1
660,"('little', 'thing')",3
661,"('thing', 'lovable')",1
662,"('lovable', 'person')",1
663,"('person', 'cozsomtimes')",1
664,"('cozsomtimes', 'little')",1
665,"('thing', 'occupy')",1
666,"('occupy', 'biggest')",1
667,"('biggest', 'part')",1
668,"('part', 'heart')",3
669,"('heart', 'god')",1
670,"('god', 'nilknow')",1
671,"('nilknow', 'plus')",1
672,"('plus', 'open')",1
673,"('open', 'backyes')",1
674,"('backyes', 'see')",1
675,"('see', 'dotwhats')",1
676,"('dotwhats', 'staff')",1
677,"('staff', 'name')",1
678,"('name', 'taking')",1
679,"('taking', 'classummmawill')",1
680,"('classummmawill', 'call')",1
681,"('call', 'check')",1
682,"('check', 'incur')",1
683,"('incur', 'life')",1
684,"('life', 'begin')",2
685,"('begin', 'qatar')",1
686,"('qatar', 'plus')",1
687,"('plus', 'pray')",1
688,"('pray', 'harddeleted')",1
689,"('harddeleted', 'contacthindu')",1
690,"('contacthindu', 'got')",1
691,"('got', 'job')",2
692,"('job', 'birls')",1
693,"('birls', 'softwine')",1
694,"('softwine', 'flowing')",1
695,"('flowing', 'severingyup')",1
696,"('severingyup', 'cine')",1
697,"('cine', 'better')",1
698,"('better', 'need')",1
699,"('need', 'plaza')",1
700,"('plaza', 'maytypical')",1
701,"('maytypical', 'replyper')",1
702,"('replyper', 'request')",1
703,"('friend', 'callertuneeverywhere')",1
704,"('callertuneeverywhere', 'dirt')",1
705,"('dirt', 'floor')",1
706,"('floor', 'window')",1
707,"('window', 'even')",1
708,"('even', 'shirt')",1
709,"('shirt', 'sometimes')",1
710,"('sometimes', 'open')",1
711,"('open', 'mouth')",1
712,"('mouth', 'come')",1
713,"('come', 'flowing')",1
714,"('flowing', 'dream')",1
715,"('dream', 'world')",1
716,"('world', 'without')",1
717,"('without', 'half')",1
718,"('half', 'chore')",1
719,"('chore', 'time')",1
720,"('time', 'joy')",1
721,"('joy', 'lot')",1
722,"('lot', 'show')",1
723,"('show', 'ill')",1
724,"('ill', 'see')",3
725,"('see', 'guess')",1
726,"('guess', 'like')",1
727,"('like', 'thing')",1
728,"('thing', 'must')",1
729,"('must', 'exist')",1
730,"('exist', 'like')",1
731,"('rain', 'hail')",1
732,"('hail', 'mist')",1
733,"('mist', 'time')",1
734,"('time', 'done')",3
735,"('done', 'become')",1
736,"('become', 'oneaaooooright')",1
737,"('oneaaooooright', 'workleaving')",1
738,"('workleaving', 'househello')",1
739,"('househello', 'love')",1
740,"('love', 'get')",1
741,"('get', 'interview')",1
742,"('interview', 'today')",1
743,"('today', 'happy')",1
744,"('happy', 'good')",2
745,"('good', 'boy')",4
746,"('boy', 'think')",1
747,"('think', 'mere')",1
748,"('mere', 'missingkeep')",1
749,"('missingkeep', 'safe')",1
750,"('safe', 'need')",1
751,"('need', 'miss')",1
752,"('miss', 'already')",6
753,"('already', 'envy')",1
754,"('envy', 'everyone')",1
755,"('everyone', 'see')",1
756,"('see', 'real')",1
757,"('real', 'lifenew')",1
758,"('lifenew', 'car')",1
759,"('car', 'house')",1
760,"('house', 'parent')",1
761,"('parent', 'new')",1
762,"('new', 'job')",3
763,"('job', 'handlove')",1
764,"('handlove', 'excited')",1
765,"('excited', 'day')",1
766,"('day', 'spend')",1
767,"('spend', 'make')",1
768,"('make', 'happyplace')",1
769,"('happyplace', 'point')",1
770,"('point', 'culture')",1
771,"('culture', 'module')",1
772,"('module', 'alreadyfind')",1
773,"('alreadyfind', 'best')",1
774,"('best', 'way')",1
775,"('way', 'avoid')",1
776,"('avoid', 'misunderstanding')",1
777,"('misunderstanding', 'wit')",1
778,"('wit', 'beloved')",1
779,"('beloved', 'onegreat')",1
780,"('onegreat', 'escape')",1
781,"('escape', 'fancy')",1
782,"('fancy', 'bridge')",1
783,"('bridge', 'need')",1
784,"('need', 'lager')",1
785,"('lager', 'seeyes')",1
786,"('seeyes', 'completely')",1
787,"('completely', 'formulary')",2
788,"('formulary', 'also')",2
789,"('also', 'utter')",2
790,"('utter', 'wastesir')",1
791,"('wastesir', 'need')",1
792,"('need', 'axis')",1
793,"('axis', 'bank')",1
794,"('bank', 'account')",1
795,"('account', 'bank')",2
796,"('bank', 'addresshmm')",1
797,"('addresshmm', 'sure')",1
798,"('sure', 'got')",1
799,"('got', 'time')",2
800,"('time', 'hop')",1
801,"('hop', 'ard')",1
802,"('ard', 'free')",1
803,"('free', 'mhz')",1
804,"('mhz', 'call')",1
805,"('call', 'discus')",1
806,"('discus', 'liaotime')",1
807,"('liaotime', 'coming')",1
808,"('coming', 'laterbloody')",1
809,"('laterbloody', 'hell')",1
810,"('hell', 'cant')",1
811,"('cant', 'believe')",1
812,"('believe', 'forgot')",1
813,"('forgot', 'surname')",1
814,"('surname', 'ill')",1
815,"('ill', 'give')",2
816,"('give', 'clue')",1
817,"('clue', 'spanish')",1
818,"('spanish', 'beginwell')",1
819,"('beginwell', 'gonna')",1
820,"('gonna', 'finish')",1
821,"('finish', 'bath')",1
822,"('bath', 'goodwin')",1
823,"('goodwin', 'nightlet')",1
824,"('nightlet', 'know')",1
825,"('know', 'got')",3
826,"('got', 'money')",4
827,"('money', 'carlos')",1
828,"('carlos', 'make')",1
829,"('make', 'callstill')",1
830,"('callstill', 'going')",1
831,"('going', 'mallturn')",1
832,"('mallturn', 'friend')",1
833,"('friend', 'staying')",1
834,"('staying', 'whole')",1
835,"('whole', 'show')",1
836,"('show', 'back')",1
837,"('back', 'til')",3
838,"('til', 'list')",1
839,"('list', 'feel')",1
840,"('feel', 'free')",2
841,"('free', 'ahead')",1
842,"('ahead', 'smoke')",1
843,"('smoke', 'list')",1
844,"('list', 'worthtext')",1
845,"('worthtext', 'reply')",1
846,"('reply', 'let')",1
847,"('know', 'logspoke')",1
848,"('logspoke', 'ganesha')",1
849,"('ganesha', 'would')",3
850,"('would', 'like')",10
851,"('like', 'know')",4
852,"('know', 'satisfied')",3
853,"('satisfied', 'experience')",3
854,"('experience', 'reply')",3
855,"('reply', 'toll')",3
856,"('toll', 'free')",3
857,"('free', 'yeslifted')",1
858,"('yeslifted', 'hope')",1
859,"('hope', 'offer')",1
860,"('offer', 'money')",1
861,"('money', 'need')",1
862,"('need', 'especially')",1
863,"('especially', 'end')",1
864,"('end', 'month')",2
865,"('month', 'approach')",1
866,"('approach', 'hurt')",1
867,"('hurt', 'studying')",1
868,"('studying', 'anyways')",1
869,"('anyways', 'gre')",1
870,"('gre', 'weekendlow')",1
871,"('weekendlow', 'trustgentleman')",1
872,"('trustgentleman', 'treat')",1
873,"('dignity', 'respectguy')",1
874,"('respectguy', 'closegoing')",1
875,"('closegoing', 'nothing')",1
876,"('nothing', 'greatlyhello')",1
877,"('greatlyhello', 'handsome')",1
878,"('handsome', 'finding')",1
879,"('finding', 'job')",1
880,"('job', 'lazy')",1
881,"('lazy', 'working')",1
882,"('working', 'towards')",1
883,"('towards', 'getting')",1
884,"('getting', 'back')",2
885,"('back', 'net')",1
886,"('net', 'mummy')",1
887,"('mummy', 'boston')",1
888,"('boston', 'misshama')",1
889,"('misshama', 'awesome')",1
890,"('awesome', 'minutegot')",1
