,trigram,count
55,"('colour', 'mobile', 'camera')",2
56,"('mobile', 'camera', 'free')",2
57,"('camera', 'free', 'call')",2
58,"('free', 'call', 'mobile')",6
59,"('call', 'mobile', 'update')",6
60,"('mobile', 'update', 'free')",6
61,"('update', 'free', '<num>six')",1
62,"('free', '<num>six', 'chance')",1
63,"('<num>six', 'chance', 'win')",2
64,"('chance', 'win', 'cash')",2
65,"('win', 'cash', '<num>')",2
66,"('cash', '<num>', 'pound')",2
67,"('<num>', 'pound', 'text')",2
68,"('pound', 'text', 'send')",2
69,"('text', 'send', '<num>')",2
70,"('send', '<num>', 'cost')",2
71,"('<num>', 'cost', '<num>pday')",2
72,"('cost', '<num>pday', 'day')",2
73,"('<num>pday', 'day', 'stand')",2
74,"('day', 'stand', 'apply')",2
75,"('stand', 'apply', 'reply')",2
76,"('apply', 'reply', 'infourgent')",1
77,"('reply', 'infourgent', 'week')",1
78,"('infourgent', 'week', 'free')",1
79,"('week', 'free', 'membership')",2
80,"('free', 'membership', '£<num>')",2
81,"('membership', '£<num>', 'prize')",2
82,"('£<num>', 'prize', 'jackpot')",2
83,"('prize', 'jackpot', 'text')",2
84,"('jackpot', 'text', 'word')",2
85,"('text', 'word', 'claim')",2
86,"('word', 'claim', '<num>')",2
87,"('claim', '<num>', 'wwwdbuknet')",2
88,"('<num>', 'wwwdbuknet', 'located')",2
89,"('wwwdbuknet', 'located', 'box')",2
90,"('located', 'box', '<num>ldnw<num>a<num>rw<num>xxxmobilemovieclub')",1
91,"('box', '<num>ldnw<num>a<num>rw<num>xxxmobilemovieclub', 'use')",1
92,"('<num>ldnw<num>a<num>rw<num>xxxmobilemovieclub', 'use', 'credit')",1
93,"('use', 'credit', 'click')",1
94,"('credit', 'click', 'link')",1
95,"('click', 'link', 'next')",1
96,"('link', 'next', 'text')",1
97,"('next', 'text', 'message')",1
98,"('text', 'message', 'click')",1
99,"('message', 'click', 'ottawa')",1
100,"('click', 'ottawa', 'xxxmobilemovieclubcomnqjkgighjjgcblengland')",1
101,"('ottawa', 'xxxmobilemovieclubcomnqjkgighjjgcblengland', 'macedonia')",1
102,"('xxxmobilemovieclubcomnqjkgighjjgcblengland', 'macedonia', 'done')",1
103,"('macedonia', 'done', 'miss')",1
104,"('done', 'miss', 'galatea')",1
105,"('miss', 'galatea', 'news')",1
106,"('galatea', 'news', 'text')",1
107,"('news', 'text', 'national')",1
108,"('text', 'national', 'team')",1
109,"('national', 'team', '<num>')",1
110,"('team', '<num>', 'leg')",1
111,"('<num>', 'leg', 'england')",1
112,"('leg', 'england', '<num>')",1
113,"('england', '<num>', 'wale')",1
114,"('<num>', 'wale', 'scotland')",1
115,"('wale', 'scotland', '<num>txtú<num>')",1
116,"('scotland', '<num>txtú<num>', 'poboxox<num>w<num>wqthanks')",1
117,"('<num>txtú<num>', 'poboxox<num>w<num>wqthanks', 'subscription')",1
118,"('poboxox<num>w<num>wqthanks', 'subscription', 'ringtone')",1
119,"('subscription', 'ringtone', 'mobile')",1
120,"('ringtone', 'mobile', 'charged')",1
121,"('mobile', 'charged', 'month')",1
122,"('charged', 'month', 'please')",1
123,"('month', 'please', 'confirm')",1
124,"('please', 'confirm', 'replying')",1
125,"('confirm', 'replying', 'yes')",1
126,"('replying', 'yes', 'reply')",1
127,"('yes', 'reply', 'charged<num>')",1
128,"('reply', 'charged<num>', 'rodger')",1
129,"('charged<num>', 'rodger', 'burn')",1
130,"('rodger', 'burn', 'mag')",1
131,"('burn', 'mag', 'tried')",1
132,"('mag', 'tried', 'call')",1
133,"('tried', 'call', 'reply')",1
134,"('call', 'reply', 'sims')",3
135,"('reply', 'sims', 'free')",1
136,"('sims', 'free', 'nokia')",1
137,"('free', 'nokia', 'mobile')",1
138,"('nokia', 'mobile', 'free')",1
139,"('mobile', 'free', 'camcorder')",1
140,"('free', 'camcorder', 'please')",1
141,"('camcorder', 'please', 'call')",1
142,"('please', 'call', '<num>')",18
143,"('call', '<num>', 'delivery')",3
144,"('<num>', 'delivery', 'tomorrowsims')",1
145,"('delivery', 'tomorrowsims', 'site')",1
146,"('tomorrowsims', 'site', 'new')",1
147,"('site', 'new', 'jersey')",1
148,"('new', 'jersey', 'devil')",1
149,"('jersey', 'devil', 'detroit')",1
150,"('devil', 'detroit', 'red')",1
151,"('detroit', 'red', 'wing')",1
152,"('red', 'wing', 'play')",1
153,"('wing', 'play', 'ice')",1
154,"('play', 'ice', 'hockey')",1
155,"('ice', 'hockey', 'correct')",1
156,"('hockey', 'correct', 'incorrect')",1
157,"('correct', 'incorrect', 'end')",1
158,"('incorrect', 'end', 'reply')",1
159,"('end', 'reply', 'end')",1
160,"('reply', 'end', 'sitecongrats')",1
161,"('end', 'sitecongrats', 'year')",1
162,"('sitecongrats', 'year', 'special')",1
163,"('year', 'special', 'cinema')",3
164,"('special', 'cinema', 'pas')",3
165,"('cinema', 'pas', 'call')",3
166,"('pas', 'call', '<num>')",3
167,"('call', '<num>', 'superman')",3
168,"('<num>', 'superman', 'matrix')",3
169,"('superman', 'matrix', 'starter')",3
170,"('matrix', 'starter', 'etc')",3
171,"('starter', 'etc', 'free')",3
172,"('etc', 'free', 'bx<num>ip<num>we')",3
173,"('free', 'bx<num>ip<num>we', 'done')",3
174,"('bx<num>ip<num>we', 'done', 'missvalued')",1
175,"('done', 'missvalued', 'customer')",1
176,"('missvalued', 'customer', 'pleased')",1
177,"('customer', 'pleased', 'advise')",3
178,"('pleased', 'advise', 'following')",3
179,"('advise', 'following', 'recent')",3
180,"('following', 'recent', 'review')",3
181,"('recent', 'review', 'mob')",3
182,"('review', 'mob', 'awarded')",3
183,"('mob', 'awarded', '£<num>')",3
184,"('awarded', '£<num>', 'bonus')",9
185,"('£<num>', 'bonus', 'prize')",3
186,"('bonus', 'prize', 'call')",3
187,"('prize', 'call', '<num>urgent')",1
188,"('call', '<num>urgent', 'awarded')",2
189,"('<num>urgent', 'awarded', 'complimentary')",2
190,"('awarded', 'complimentary', 'trip')",2
191,"('complimentary', 'trip', 'eurodisinc')",2
192,"('trip', 'eurodisinc', 'tray')",2
193,"('eurodisinc', 'tray', 'acoentry<num>')",2
194,"('tray', 'acoentry<num>', '£<num>')",2
195,"('acoentry<num>', '£<num>', 'claim')",2
196,"('£<num>', 'claim', 'text')",2
197,"('claim', 'text', 'dis')",2
198,"('text', 'dis', '<num>')",2
199,"('dis', '<num>', '<num>£<num>morefrmmob')",2
200,"('<num>', '<num>£<num>morefrmmob', 'shracomorsglsuplt<num>')",2
201,"('<num>£<num>morefrmmob', 'shracomorsglsuplt<num>', 'rajhear')",1
202,"('shracomorsglsuplt<num>', 'rajhear', 'new')",1
203,"('rajhear', 'new', 'divorce')",1
204,"('new', 'divorce', 'barbie')",1
205,"('divorce', 'barbie', 'come')",1
206,"('barbie', 'come', 'ken')",1
207,"('come', 'ken', 'stuffplease')",1
208,"('ken', 'stuffplease', 'call')",1
209,"('stuffplease', 'call', 'customer')",1
210,"('call', 'customer', 'service')",15
211,"('customer', 'service', 'representative')",9
212,"('service', 'representative', '<num>')",5
213,"('representative', '<num>', '<num>')",2
214,"('<num>', '<num>', '<num>am<num>pm')",6
215,"('<num>', '<num>am<num>pm', 'guaranteed')",6
216,"('<num>am<num>pm', 'guaranteed', '£<num>')",6
217,"('guaranteed', '£<num>', 'cash')",8
218,"('£<num>', 'cash', '£<num>')",17
219,"('cash', '£<num>', 'prizefree')",1
220,"('£<num>', 'prizefree', 'ringtone')",1
221,"('prizefree', 'ringtone', 'waiting')",1
222,"('ringtone', 'waiting', 'collected')",2
223,"('waiting', 'collected', 'simply')",2
224,"('collected', 'simply', 'text')",2
225,"('simply', 'text', 'password')",2
226,"('text', 'password', 'mix')",2
227,"('password', 'mix', '<num>')",2
228,"('mix', '<num>', 'verify')",2
229,"('<num>', 'verify', 'get')",2
230,"('verify', 'get', 'usher')",2
231,"('get', 'usher', 'britney')",2
232,"('usher', 'britney', 'fol')",2
233,"('britney', 'fol', 'box')",2
234,"('fol', 'box', '<num>')",2
235,"('box', '<num>', 'mkt')",3
236,"('<num>', 'mkt', 'mph')",2
237,"('mkt', 'mph', '<num>ppwgent')",1
238,"('mph', '<num>ppwgent', 'trying')",1
239,"('<num>ppwgent', 'trying', 'contact')",1
240,"('trying', 'contact', 'last')",5
241,"('contact', 'last', 'weekend')",5
242,"('last', 'weekend', 'draw')",6
243,"('weekend', 'draw', 'show')",6
244,"('draw', 'show', '£<num>')",15
245,"('show', '£<num>', 'prize')",14
246,"('£<num>', 'prize', 'guaranteed')",22
247,"('prize', 'guaranteed', 'call')",21
248,"('guaranteed', 'call', '<num>')",23
249,"('claim', 'code', 'key')",4
250,"('code', 'key', 'valid')",3
251,"('key', 'valid', 'ppmwinner')",1
252,"('valid', 'ppmwinner', 'specially')",1
253,"('ppmwinner', 'specially', 'selected')",1
254,"('specially', 'selected', 'receive')",6
255,"('selected', 'receive', '£<num>')",11
256,"('receive', '£<num>', 'holiday')",1
257,"('£<num>', 'holiday', 'flight')",1
258,"('holiday', 'flight', 'inc')",4
259,"('flight', 'inc', 'speak')",4
260,"('inc', 'speak', 'live')",4
261,"('speak', 'live', 'operator')",8
262,"('live', 'operator', 'claim')",8
263,"('operator', 'claim', '<num>pminprivate')",1
264,"('claim', '<num>pminprivate', '<num>')",1
265,"('<num>pminprivate', '<num>', 'account')",1
266,"('<num>', 'account', 'statement')",15
267,"('account', 'statement', '<num>')",8
268,"('statement', '<num>', 'show')",7
269,"('<num>', 'show', 'unredeemed')",7
270,"('show', 'unredeemed', 'bonus')",3
271,"('unredeemed', 'bonus', 'point')",3
272,"('bonus', 'point', 'claim')",3
273,"('point', 'claim', 'call')",4
274,"('call', '<num>', 'identifier')",16
275,"('<num>', 'identifier', 'code')",15
276,"('identifier', 'code', '<num>')",14
277,"('code', '<num>', 'expiresurgent')",1
278,"('<num>', 'expiresurgent', 'mobile')",1
279,"('expiresurgent', 'mobile', 'awarded')",1
280,"('mobile', 'awarded', '£<num>')",4
281,"('£<num>', 'bonus', 'caller')",11
282,"('bonus', 'caller', 'prize')",11
283,"('caller', 'prize', '<num>')",10
284,"('prize', '<num>', 'final')",2
285,"('<num>', 'final', 'try')",1
286,"('final', 'try', 'contact')",1
287,"('try', 'contact', 'call')",1
288,"('contact', 'call', 'landline')",1
289,"('call', 'landline', '<num>')",4
290,"('landline', '<num>', 'box<num>wr<num>c')",1
291,"('<num>', 'box<num>wr<num>c', 'ppmtoday')",1
292,"('box<num>wr<num>c', 'ppmtoday', 'soda')",1
293,"('ppmtoday', 'soda', 'number')",1
294,"('soda', 'number', 'ending')",5
295,"('number', 'ending', '<num>')",6
296,"('ending', '<num>', 'selected')",6
297,"('<num>', 'selected', 'receive')",6
298,"('selected', 'receive', 'award')",3
299,"('receive', 'award', 'match')",3
300,"('award', 'match', 'please')",4
301,"('match', 'please', 'call')",8
302,"('call', '<num>', 'quoting')",5
303,"('<num>', 'quoting', 'claim')",5
304,"('quoting', 'claim', 'code')",5
305,"('claim', 'code', '<num>')",5
306,"('code', '<num>', 'standard')",5
307,"('<num>', 'standard', 'rate')",5
308,"('standard', 'rate', 'appsunshine')",1
309,"('rate', 'appsunshine', 'quiz')",1
310,"('appsunshine', 'quiz', 'wkly')",1
311,"('quiz', 'wkly', 'win')",4
312,"('wkly', 'win', 'top')",4
313,"('win', 'top', 'sony')",4
314,"('top', 'sony', 'player')",4
315,"('sony', 'player', 'know')",4
316,"('player', 'know', 'country')",4
317,"('know', 'country', 'algae')",2
318,"('country', 'algae', 'text')",2
319,"('algae', 'text', '<num>')",2
320,"('text', '<num>', '£<num>')",4
321,"('<num>', '£<num>', 'tyronewant')",1
322,"('£<num>', 'tyronewant', 'get')",1
323,"('tyronewant', 'get', 'laid')",1
324,"('get', 'laid', 'tonight')",2
325,"('laid', 'tonight', 'want')",2
326,"('tonight', 'want', 'real')",2
327,"('want', 'real', 'dogging')",3
328,"('real', 'dogging', 'location')",3
329,"('dogging', 'location', 'sent')",3
330,"('location', 'sent', 'direct')",4
331,"('sent', 'direct', 'mob')",2
332,"('direct', 'mob', 'join')",2
333,"('mob', 'join', 'largest')",2
334,"('join', 'largest', 'dogging')",4
335,"('largest', 'dogging', 'network')",4
336,"('dogging', 'network', 'toting')",2
337,"('network', 'toting', 'gravel')",1
338,"('toting', 'gravel', '<num>')",1
339,"('gravel', '<num>', 'echo')",1
340,"('<num>', 'echo', '<num>pmsg<num>prev')",1
341,"('echo', '<num>pmsg<num>prev', 'mug')",1
342,"('<num>pmsg<num>prev', 'mug', 'chat')",1
343,"('mug', 'chat', 'sec')",1
344,"('chat', 'sec', 'free')",1
345,"('sec', 'free', 'hardcore')",1
346,"('free', 'hardcore', 'service')",1
347,"('hardcore', 'service', 'text')",1
348,"('service', 'text', '<num>')",1
349,"('text', '<num>', 'get')",1
350,"('<num>', 'get', 'nothing')",1
351,"('get', 'nothing', 'must')",1
352,"('nothing', 'must', 'age')",1
353,"('must', 'age', 'verify')",1
354,"('age', 'verify', 'network')",1
355,"('verify', 'network', 'tryfreeman')",1
356,"('network', 'tryfreeman', 'replied')",1
357,"('tryfreeman', 'replied', 'text')",1
358,"('replied', 'text', 'randy')",1
359,"('text', 'randy', 'sexy')",1
360,"('randy', 'sexy', 'female')",1
361,"('sexy', 'female', 'live')",1
362,"('female', 'live', 'local')",1
363,"('live', 'local', 'lug')",1
364,"('local', 'lug', 'hear')",1
365,"('lug', 'hear', 'metroplex')",1
366,"('hear', 'metroplex', 'ltd')",1
367,"('metroplex', 'ltd', '<num>p')",2
368,"('ltd', '<num>p', 'per')",2
369,"('<num>p', 'per', 'mag')",2
370,"('per', 'mag', 'reply')",2
371,"('mag', 'reply', 'stop')",2
372,"('reply', 'stop', 'endcustomer')",1
373,"('stop', 'endcustomer', 'service')",1
374,"('endcustomer', 'service', 'announcement')",1
375,"('service', 'announcement', 'new')",1
376,"('announcement', 'new', 'year')",1
377,"('new', 'year', 'delivery')",1
378,"('year', 'delivery', 'waiting')",1
379,"('delivery', 'waiting', 'please')",1
380,"('waiting', 'please', 'call')",1
381,"('call', '<num>', 'arrange')",1
382,"('<num>', 'arrange', 'deliverywinner')",1
383,"('arrange', 'deliverywinner', 'specially')",1
384,"('deliverywinner', 'specially', 'selected')",1
385,"('receive', '£<num>', 'cash')",5
386,"('£<num>', 'cash', 'holiday')",4
387,"('cash', 'holiday', 'flight')",3
388,"('operator', 'claim', '<num>plus')",1
389,"('claim', '<num>plus', 'stop')",1
390,"('<num>plus', 'stop', 'bootydelious')",1
391,"('stop', 'bootydelious', 'inviting')",1
392,"('bootydelious', 'inviting', 'friend')",1
393,"('inviting', 'friend', 'reply')",6
394,"('friend', 'reply', 'yes')",6
395,"('reply', 'yes', 'see')",6
396,"('yes', 'see', 'wwwsmsacubootydelious')",1
397,"('see', 'wwwsmsacubootydelious', 'stop')",1
398,"('wwwsmsacubootydelious', 'stop', 'send')",1
399,"('stop', 'send', 'stop')",7
400,"('send', 'stop', 'find')",6
401,"('stop', 'find', '<num>language')",1
402,"('find', '<num>language', 'order')",1
403,"('<num>language', 'order', 'way')",1
404,"('order', 'way', 'receive')",1
405,"('way', 'receive', 'service')",1
406,"('receive', 'service', 'mag')",1
407,"('service', 'mag', 'download')",1
408,"('mag', 'download', 'content')",1
409,"('download', 'content', 'got')",1
410,"('content', 'got', 'bang')",1
411,"('got', 'bang', 'mobile')",1
412,"('bang', 'mobile', 'interservice')",1
413,"('mobile', 'interservice', 'menuurgent')",1
414,"('interservice', 'menuurgent', 'trying')",1
415,"('menuurgent', 'trying', 'contact')",1
416,"('claim', 'code', 'see')",1
417,"('code', 'see', 'validplease')",1
418,"('see', 'validplease', 'call')",1
419,"('validplease', 'call', 'customer')",1
420,"('service', 'representative', 'freephone')",4
421,"('representative', 'freephone', '<num>')",4
422,"('freephone', '<num>', '<num>')",4
423,"('cash', '£<num>', 'prizeunique')",1
424,"('£<num>', 'prizeunique', 'enough')",1
425,"('prizeunique', 'enough', 'find')",1
426,"('enough', 'find', 'august')",1
427,"('find', 'august', 'wwwareyouuniquecouknew')",1
428,"('august', 'wwwareyouuniquecouknew', 'mobile')",1
429,"('wwwareyouuniquecouknew', 'mobile', '<num>')",1
430,"('mobile', '<num>', 'must')",3
431,"('<num>', 'must', 'text')",3
432,"('must', 'text', 'nokia')",3
433,"('text', 'nokia', '<num>')",12
434,"('nokia', '<num>', 'collect')",3
435,"('<num>', 'collect', 'todayfrom')",2
436,"('collect', 'todayfrom', 'www<num>tcbiz')",2
437,"('todayfrom', 'www<num>tcbiz', 'output')",2
438,"('www<num>tcbiz', 'output', '<num>gbpmtmsg<num>meet')",1
439,"('output', '<num>gbpmtmsg<num>meet', 'dream')",1
440,"('<num>gbpmtmsg<num>meet', 'dream', 'partner')",1
441,"('dream', 'partner', 'soon')",1
442,"('partner', 'soon', 'career')",1
443,"('soon', 'career', 'flying')",1
444,"('career', 'flying', 'start')",1
445,"('flying', 'start', 'find')",1
446,"('start', 'find', 'free')",1
447,"('find', 'free', 'text')",1
448,"('free', 'text', 'hero')",1
449,"('text', 'hero', 'followed')",1
450,"('hero', 'followed', 'star')",1
451,"('followed', 'star', 'sign')",1
452,"('star', 'sign', 'hero')",1
453,"('sign', 'hero', 'ariestext')",1
454,"('hero', 'ariestext', 'meet')",1
455,"('ariestext', 'meet', 'someone')",1
456,"('meet', 'someone', 'sexy')",1
457,"('someone', 'sexy', 'today')",1
458,"('sexy', 'today', 'find')",1
459,"('today', 'find', 'date')",1
460,"('find', 'date', 'even')",1
461,"('date', 'even', 'flirt')",1
462,"('even', 'flirt', 'join')",1
463,"('flirt', 'join', 'reply')",1
464,"('join', 'reply', 'name')",1
465,"('reply', 'name', 'age')",1
466,"('name', 'age', 'leg')",2
467,"('age', 'leg', 'sam')",1
468,"('leg', 'sam', 'mag')",1
469,"('sam', 'mag', 'recdthirtyeight')",1
470,"('mag', 'recdthirtyeight', 'penny<num>')",1
471,"('recdthirtyeight', 'penny<num>', 'secret')",1
472,"('penny<num>', 'secret', 'admirer')",1
473,"('secret', 'admirer', 'looking')",2
474,"('admirer', 'looking', 'make')",8
475,"('looking', 'make', 'contact')",8
476,"('make', 'contact', 'find')",8
477,"('contact', 'find', 'reveal')",8
478,"('find', 'reveal', 'think')",8
479,"('reveal', 'think', 'specifically')",8
480,"('think', 'specifically', '<num>congratulation')",1
481,"('specifically', '<num>congratulation', 'awarded')",1
482,"('<num>congratulation', 'awarded', 'voucher')",1
483,"('awarded', 'voucher', 'gift')",3
484,"('voucher', 'gift', 'guaranteed')",3
485,"('gift', 'guaranteed', 'free')",3
486,"('guaranteed', 'free', 'entry')",3
487,"('entry', 'wkly', 'draw')",3
488,"('wkly', 'draw', 'text')",3
489,"('draw', 'text', 'music')",9
490,"('text', 'music', '<num>')",8
491,"('music', '<num>', 'tic')",7
492,"('<num>', 'tic', 'wwwldewcom<num>win<num>ppmx<num>age<num>tried')",1
493,"('tic', 'wwwldewcom<num>win<num>ppmx<num>age<num>tried', 'contact')",1
494,"('wwwldewcom<num>win<num>ppmx<num>age<num>tried', 'contact', 'reply')",1
495,"('contact', 'reply', 'offer')",4
496,"('reply', 'offer', 'video')",3
497,"('offer', 'video', 'handset')",2
498,"('video', 'handset', 'anytime')",4
499,"('handset', 'anytime', 'network')",4
500,"('anytime', 'network', 'mind')",11
501,"('network', 'mind', 'unlimited')",3
502,"('mind', 'unlimited', 'text')",5
503,"('unlimited', 'text', 'camcorder')",3
504,"('text', 'camcorder', 'reply')",3
505,"('camcorder', 'reply', 'call')",12
506,"('reply', 'call', '<num>hey')",1
507,"('call', '<num>hey', 'really')",1
508,"('<num>hey', 'really', 'horny')",1
509,"('really', 'horny', 'want')",1
510,"('horny', 'want', 'chat')",1
511,"('want', 'chat', 'see')",1
512,"('chat', 'see', 'naked')",1
513,"('see', 'naked', 'text')",1
514,"('naked', 'text', 'hot')",1
515,"('text', 'hot', '<num>')",1
516,"('hot', '<num>', 'text')",1
517,"('<num>', 'text', 'charged')",1
518,"('text', 'charged', 'unsubscribe')",1
519,"('charged', 'unsubscribe', 'text')",1
520,"('unsubscribe', 'text', 'stop')",3
521,"('text', 'stop', '<num>ringtone')",1
522,"('stop', '<num>ringtone', 'service')",1
523,"('<num>ringtone', 'service', 'changed')",1
524,"('service', 'changed', 'free')",1
525,"('changed', 'free', 'credit')",1
526,"('free', 'credit', 'club<num>mobilescom')",1
527,"('credit', 'club<num>mobilescom', 'choose')",1
528,"('club<num>mobilescom', 'choose', 'content')",1
529,"('choose', 'content', 'stop')",1
530,"('content', 'stop', 'text')",1
531,"('stop', 'text', 'club')",1
532,"('text', 'club', 'stop')",1
533,"('club', 'stop', '<num>')",1
534,"('stop', '<num>', '<num>pwk')",1
535,"('<num>', '<num>pwk', 'club')",1
536,"('<num>pwk', 'club', 'box<num>')",1
537,"('club', 'box<num>', 'mkt')",1
538,"('box<num>', 'mkt', 'cwtringtone')",1
539,"('mkt', 'cwtringtone', 'club')",1
540,"('cwtringtone', 'club', 'get')",1
541,"('club', 'get', 'single')",1
542,"('get', 'single', 'chart')",1
543,"('single', 'chart', 'mobile')",1
544,"('chart', 'mobile', 'week')",1
545,"('mobile', 'week', 'choose')",1
546,"('week', 'choose', 'top')",1
547,"('choose', 'top', 'quality')",2
548,"('top', 'quality', 'ringtone')",1
549,"('quality', 'ringtone', 'message')",1
550,"('ringtone', 'message', 'free')",1
551,"('message', 'free', 'chargehmm')",1
552,"('free', 'chargehmm', 'bonus')",1
553,"('chargehmm', 'bonus', 'special')",1
554,"('bonus', 'special', 'pound')",3
555,"('special', 'pound', 'genuine')",3
556,"('pound', 'genuine', 'hmm')",3
557,"('genuine', 'hmm', 'voucher')",3
558,"('hmm', 'voucher', 'answer')",3
559,"('voucher', 'answer', 'easy')",3
560,"('answer', 'easy', 'question')",3
561,"('easy', 'question', 'play')",3
562,"('question', 'play', 'send')",3
563,"('play', 'send', 'hmm')",3
564,"('send', 'hmm', '<num>')",3
565,"('hmm', '<num>', 'infowww<num>percentrealcommobile')",1
566,"('<num>', 'infowww<num>percentrealcommobile', 'customer')",1
567,"('infowww<num>percentrealcommobile', 'customer', 'may')",1
568,"('customer', 'may', 'claim')",3
569,"('may', 'claim', 'free')",3
570,"('claim', 'free', 'camera')",3
571,"('free', 'camera', 'phone')",3
572,"('camera', 'phone', 'upgrade')",3
573,"('phone', 'upgrade', 'pay')",1
574,"('upgrade', 'pay', 'sim')",1
575,"('pay', 'sim', 'card')",1
576,"('sim', 'card', 'loyalty')",1
577,"('card', 'loyalty', 'call')",1
578,"('loyalty', 'call', '<num>')",3
579,"('call', '<num>', '<num>offer')",1
580,"('<num>', '<num>offer', 'end')",1
581,"('<num>offer', 'end', '<num>thfebtc')",1
582,"('end', '<num>thfebtc', 'applysims')",1
583,"('<num>thfebtc', 'applysims', 'blind')",1
584,"('applysims', 'blind', 'date')",1
585,"('blind', 'date', 'road')",1
586,"('date', 'road', 'aberdeen')",1
587,"('road', 'aberdeen', 'united')",1
588,"('aberdeen', 'united', 'kingdom')",1
589,"('united', 'kingdom', 'check')",1
590,"('kingdom', 'check', 'helping')",1
591,"('check', 'helping', 'sims')",1
592,"('helping', 'sims', 'acwicmb<num>cktz<num>r<num>')",1
593,"('sims', 'acwicmb<num>cktz<num>r<num>', 'blind')",1
594,"('acwicmb<num>cktz<num>r<num>', 'blind', 'date')",1
595,"('blind', 'date', 'send')",1
596,"('date', 'send', 'hidecheck')",1
597,"('send', 'hidecheck', 'newest')",1
598,"('hidecheck', 'newest', 'selection')",1
599,"('newest', 'selection', 'content')",1
600,"('selection', 'content', 'game')",1
601,"('content', 'game', 'tone')",1
602,"('game', 'tone', 'gossip')",1
603,"('tone', 'gossip', 'babe')",1
604,"('gossip', 'babe', 'sport')",1
605,"('babe', 'sport', 'keep')",1
606,"('sport', 'keep', 'mobile')",1
607,"('keep', 'mobile', 'fit')",1
608,"('mobile', 'fit', 'funky')",1
609,"('fit', 'funky', 'text')",1
610,"('funky', 'text', '<num>think')",1
611,"('text', '<num>think', 'smart')",1
612,"('<num>think', 'smart', 'win')",1
613,"('smart', 'win', '£<num>')",1
614,"('win', '£<num>', 'week')",1
615,"('£<num>', 'week', 'weekly')",1
616,"('week', 'weekly', 'quiz')",1
617,"('weekly', 'quiz', 'text')",1
618,"('quiz', 'text', 'play')",1
619,"('text', 'play', '<num>')",2
620,"('play', '<num>', 'note')",1
621,"('<num>', 'note', 'winnersclub')",1
622,"('note', 'winnersclub', 'box')",1
623,"('winnersclub', 'box', 'luz')",1
624,"('box', 'luz', 'gbp<num>weekdecember')",1
625,"('luz', 'gbp<num>weekdecember', 'mobile')",1
626,"('gbp<num>weekdecember', 'mobile', 'month')",1
627,"('mobile', 'month', 'entitled')",4
628,"('latest', 'colour', 'camera')",6
629,"('colour', 'camera', 'mobile')",6
630,"('camera', 'mobile', 'free')",4
631,"('mobile', 'free', 'call')",4
632,"('update', 'free', '<num>call')",1
633,"('free', '<num>call', 'germany')",1
634,"('<num>call', 'germany', 'penny')",1
635,"('germany', 'penny', 'per')",2
636,"('penny', 'per', 'minute')",2
637,"('per', 'minute', 'call')",2
638,"('minute', 'call', 'fixed')",2
639,"('call', 'fixed', 'line')",2
640,"('fixed', 'line', 'via')",2
641,"('line', 'via', 'access')",2
642,"('via', 'access', 'number')",2
643,"('access', 'number', '<num>')",2
644,"('number', '<num>', 'prepayment')",2
645,"('<num>', 'prepayment', 'direct')",2
646,"('prepayment', 'direct', 'accessvalentine')",1
