,bigram,count
151,"('wing', 'play')",1
152,"('play', 'ice')",1
153,"('ice', 'hockey')",1
154,"('hockey', 'correct')",1
155,"('correct', 'incorrect')",1
156,"('incorrect', 'end')",1
157,"('end', 'reply')",2
158,"('reply', 'end')",1
159,"('end', 'sitecongrats')",1
160,"('sitecongrats', 'year')",1
161,"('year', 'special')",3
162,"('special', 'cinema')",3
163,"('cinema', 'pas')",3
164,"('pas', 'call')",3
165,"('<num>', 'superman')",3
166,"('superman', 'matrix')",3
167,"('matrix', 'starter')",3
168,"('starter', 'etc')",3
169,"('etc', 'free')",5
170,"('free', 'bx<num>ip<num>we')",3
171,"('bx<num>ip<num>we', 'done')",3
172,"('done', 'missvalued')",1
173,"('missvalued', 'customer')",1
174,"('customer', 'pleased')",3
175,"('pleased', 'advise')",3
176,"('advise', 'following')",3
177,"('following', 'recent')",3
178,"('recent', 'review')",3
179,"('review', 'mob')",3
180,"('mob', 'awarded')",3
181,"('awarded', '£<num>')",16
182,"('£<num>', 'bonus')",14
183,"('bonus', 'prize')",3
184,"('prize', 'call')",9
185,"('call', '<num>urgent')",4
186,"('<num>urgent', 'awarded')",2
187,"('awarded', 'complimentary')",2
188,"('complimentary', 'trip')",2
189,"('trip', 'eurodisinc')",2
190,"('eurodisinc', 'tray')",2
191,"('tray', 'acoentry<num>')",2
192,"('acoentry<num>', '£<num>')",2
193,"('£<num>', 'claim')",4
194,"('claim', 'text')",2
195,"('text', 'dis')",2
196,"('dis', '<num>')",2
197,"('<num>', '<num>£<num>morefrmmob')",2
198,"('<num>£<num>morefrmmob', 'shracomorsglsuplt<num>')",2
199,"('shracomorsglsuplt<num>', 'rajhear')",1
200,"('rajhear', 'new')",1
201,"('new', 'divorce')",1
202,"('divorce', 'barbie')",1
203,"('barbie', 'come')",1
204,"('come', 'ken')",1
205,"('ken', 'stuffplease')",1
206,"('stuffplease', 'call')",1
207,"('call', 'customer')",15
208,"('customer', 'service')",24
209,"('service', 'representative')",9
210,"('representative', '<num>')",5
211,"('<num>', '<num>')",23
212,"('<num>', '<num>am<num>pm')",8
213,"('<num>am<num>pm', 'guaranteed')",6
214,"('guaranteed', '£<num>')",8
215,"('£<num>', 'cash')",45
216,"('cash', '£<num>')",17
217,"('£<num>', 'prizefree')",1
218,"('prizefree', 'ringtone')",1
219,"('ringtone', 'waiting')",2
220,"('waiting', 'collected')",2
221,"('collected', 'simply')",2
222,"('simply', 'text')",2
223,"('text', 'password')",2
224,"('password', 'mix')",2
225,"('mix', '<num>')",2
226,"('<num>', 'verify')",2
227,"('verify', 'get')",2
228,"('get', 'usher')",2
229,"('usher', 'britney')",2
230,"('britney', 'fol')",2
231,"('fol', 'box')",2
232,"('box', '<num>')",24
233,"('<num>', 'mkt')",3
234,"('mkt', 'mph')",2
235,"('mph', '<num>ppwgent')",1
236,"('<num>ppwgent', 'trying')",1
237,"('trying', 'contact')",15
238,"('contact', 'last')",5
239,"('last', 'weekend')",6
240,"('weekend', 'draw')",6
241,"('draw', 'show')",15
242,"('show', '£<num>')",15
243,"('prize', 'guaranteed')",23
244,"('guaranteed', 'call')",23
245,"('code', 'key')",4
246,"('key', 'valid')",3
247,"('valid', 'ppmwinner')",1
248,"('ppmwinner', 'specially')",1
249,"('specially', 'selected')",6
250,"('selected', 'receive')",19
251,"('receive', '£<num>')",18
252,"('£<num>', 'holiday')",1
253,"('holiday', 'flight')",4
254,"('flight', 'inc')",4
255,"('inc', 'speak')",4
256,"('speak', 'live')",10
257,"('live', 'operator')",8
258,"('operator', 'claim')",8
259,"('claim', '<num>pminprivate')",1
260,"('<num>pminprivate', '<num>')",1
261,"('<num>', 'account')",16
262,"('account', 'statement')",15
263,"('statement', '<num>')",8
264,"('<num>', 'show')",7
265,"('show', 'unredeemed')",16
266,"('unredeemed', 'bonus')",3
267,"('bonus', 'point')",3
268,"('point', 'claim')",4
269,"('<num>', 'identifier')",16
270,"('identifier', 'code')",15
271,"('code', '<num>')",19
272,"('<num>', 'expiresurgent')",1
273,"('expiresurgent', 'mobile')",1
274,"('mobile', 'awarded')",4
275,"('bonus', 'caller')",11
276,"('caller', 'prize')",12
277,"('prize', '<num>')",10
278,"('<num>', 'final')",2
279,"('final', 'try')",1
280,"('try', 'contact')",1
281,"('contact', 'call')",5
282,"('call', 'landline')",4
283,"('landline', '<num>')",6
284,"('<num>', 'box<num>wr<num>c')",1
285,"('box<num>wr<num>c', 'ppmtoday')",1
286,"('ppmtoday', 'soda')",1
287,"('soda', 'number')",5
288,"('number', 'ending')",8
289,"('ending', '<num>')",6
290,"('<num>', 'selected')",6
291,"('receive', 'award')",3
292,"('award', 'match')",4
293,"('match', 'please')",8
294,"('<num>', 'quoting')",5
295,"('quoting', 'claim')",5
296,"('<num>', 'standard')",5
297,"('standard', 'rate')",5
298,"('rate', 'appsunshine')",1
299,"('appsunshine', 'quiz')",1
300,"('quiz', 'wkly')",4
301,"('wkly', 'win')",4
302,"('win', 'top')",4
303,"('top', 'sony')",4
304,"('sony', 'player')",4
305,"('player', 'know')",4
306,"('know', 'country')",4
307,"('country', 'algae')",2
308,"('algae', 'text')",2
309,"('<num>', '£<num>')",8
310,"('£<num>', 'tyronewant')",1
311,"('tyronewant', 'get')",1
312,"('get', 'laid')",3
313,"('laid', 'tonight')",2
314,"('tonight', 'want')",2
315,"('want', 'real')",3
316,"('real', 'dogging')",3
317,"('dogging', 'location')",3
318,"('location', 'sent')",4
319,"('sent', 'direct')",5
320,"('direct', 'mob')",2
321,"('mob', 'join')",2
322,"('join', 'largest')",4
323,"('largest', 'dogging')",4
324,"('dogging', 'network')",4
325,"('network', 'toting')",2
326,"('toting', 'gravel')",1
327,"('gravel', '<num>')",1
328,"('<num>', 'echo')",2
329,"('echo', '<num>pmsg<num>prev')",1
330,"('<num>pmsg<num>prev', 'mug')",1
331,"('mug', 'chat')",1
332,"('chat', 'sec')",1
333,"('sec', 'free')",1
334,"('free', 'hardcore')",1
335,"('hardcore', 'service')",1
336,"('service', 'text')",2
337,"('<num>', 'get')",15
338,"('get', 'nothing')",1
339,"('nothing', 'must')",1
340,"('must', 'age')",1
341,"('age', 'verify')",1
342,"('verify', 'network')",1
343,"('network', 'tryfreeman')",1
344,"('tryfreeman', 'replied')",1
345,"('replied', 'text')",1
346,"('text', 'randy')",1
347,"('randy', 'sexy')",1
348,"('sexy', 'female')",1
349,"('female', 'live')",1
350,"('live', 'local')",2
351,"('local', 'lug')",1
352,"('lug', 'hear')",1
353,"('hear', 'metroplex')",1
354,"('metroplex', 'ltd')",3
355,"('ltd', '<num>p')",2
356,"('<num>p', 'per')",4
357,"('per', 'mag')",6
358,"('mag', 'reply')",2
359,"('reply', 'stop')",10
360,"('stop', 'endcustomer')",1
361,"('endcustomer', 'service')",1
362,"('service', 'announcement')",7
363,"('announcement', 'new')",1
364,"('new', 'year')",2
365,"('year', 'delivery')",1
366,"('delivery', 'waiting')",1
367,"('waiting', 'please')",1
368,"('<num>', 'arrange')",1
369,"('arrange', 'deliverywinner')",1
370,"('deliverywinner', 'specially')",1
371,"('cash', 'holiday')",4
372,"('claim', '<num>plus')",1
373,"('<num>plus', 'stop')",1
374,"('stop', 'bootydelious')",1
375,"('bootydelious', 'inviting')",1
376,"('inviting', 'friend')",6
377,"('friend', 'reply')",6
378,"('reply', 'yes')",8
379,"('yes', 'see')",6
380,"('see', 'wwwsmsacubootydelious')",1
381,"('wwwsmsacubootydelious', 'stop')",1
382,"('stop', 'send')",7
383,"('send', 'stop')",21
384,"('stop', 'find')",6
385,"('find', '<num>language')",1
386,"('<num>language', 'order')",1
387,"('order', 'way')",1
388,"('way', 'receive')",1
389,"('receive', 'service')",1
390,"('service', 'mag')",1
391,"('mag', 'download')",1
392,"('download', 'content')",1
393,"('content', 'got')",1
394,"('got', 'bang')",1
395,"('bang', 'mobile')",1
396,"('mobile', 'interservice')",1
397,"('interservice', 'menuurgent')",1
398,"('menuurgent', 'trying')",1
399,"('code', 'see')",1
400,"('see', 'validplease')",1
401,"('validplease', 'call')",1
402,"('representative', 'freephone')",4
403,"('freephone', '<num>')",12
404,"('£<num>', 'prizeunique')",1
405,"('prizeunique', 'enough')",1
406,"('enough', 'find')",1
407,"('find', 'august')",1
408,"('august', 'wwwareyouuniquecouknew')",1
409,"('wwwareyouuniquecouknew', 'mobile')",1
410,"('mobile', '<num>')",8
411,"('<num>', 'must')",4
412,"('must', 'text')",3
413,"('text', 'nokia')",13
414,"('nokia', '<num>')",22
415,"('<num>', 'collect')",6
416,"('collect', 'todayfrom')",2
417,"('todayfrom', 'www<num>tcbiz')",2
418,"('www<num>tcbiz', 'output')",3
419,"('output', '<num>gbpmtmsg<num>meet')",1
420,"('<num>gbpmtmsg<num>meet', 'dream')",1
421,"('dream', 'partner')",1
422,"('partner', 'soon')",1
423,"('soon', 'career')",1
424,"('career', 'flying')",1
425,"('flying', 'start')",1
426,"('start', 'find')",1
427,"('find', 'free')",1
428,"('free', 'text')",14
429,"('text', 'hero')",1
430,"('hero', 'followed')",1
431,"('followed', 'star')",1
432,"('star', 'sign')",1
433,"('sign', 'hero')",1
434,"('hero', 'ariestext')",1
435,"('ariestext', 'meet')",1
436,"('meet', 'someone')",1
437,"('someone', 'sexy')",1
438,"('sexy', 'today')",1
439,"('today', 'find')",1
440,"('find', 'date')",1
441,"('date', 'even')",1
442,"('even', 'flirt')",1
443,"('flirt', 'join')",1
444,"('join', 'reply')",1
445,"('reply', 'name')",1
446,"('name', 'age')",4
447,"('age', 'leg')",2
448,"('leg', 'sam')",1
449,"('sam', 'mag')",1
450,"('mag', 'recdthirtyeight')",1
451,"('recdthirtyeight', 'penny<num>')",1
452,"('penny<num>', 'secret')",1
453,"('secret', 'admirer')",2
454,"('admirer', 'looking')",8
455,"('looking', 'make')",8
456,"('make', 'contact')",8
457,"('contact', 'find')",8
458,"('find', 'reveal')",8
459,"('reveal', 'think')",10
460,"('think', 'specifically')",8
461,"('specifically', '<num>congratulation')",1
462,"('<num>congratulation', 'awarded')",1
463,"('awarded', 'voucher')",3
464,"('voucher', 'gift')",3
465,"('gift', 'guaranteed')",6
466,"('guaranteed', 'free')",3
467,"('wkly', 'draw')",4
468,"('draw', 'text')",9
469,"('text', 'music')",9
470,"('music', '<num>')",9
471,"('<num>', 'tic')",13
472,"('tic', 'wwwldewcom<num>win<num>ppmx<num>age<num>tried')",1
473,"('wwwldewcom<num>win<num>ppmx<num>age<num>tried', 'contact')",1
474,"('contact', 'reply')",4
475,"('reply', 'offer')",4
476,"('offer', 'video')",3
477,"('video', 'handset')",5
478,"('handset', 'anytime')",4
479,"('anytime', 'network')",11
480,"('network', 'mind')",12
481,"('mind', 'unlimited')",5
482,"('unlimited', 'text')",5
483,"('text', 'camcorder')",3
484,"('camcorder', 'reply')",12
485,"('reply', 'call')",16
486,"('call', '<num>hey')",1
487,"('<num>hey', 'really')",1
488,"('really', 'horny')",1
489,"('horny', 'want')",1
490,"('want', 'chat')",1
491,"('chat', 'see')",1
492,"('see', 'naked')",1
493,"('naked', 'text')",1
494,"('text', 'hot')",1
495,"('hot', '<num>')",1
496,"('text', 'charged')",1
497,"('charged', 'unsubscribe')",1
498,"('unsubscribe', 'text')",4
499,"('text', 'stop')",17
500,"('stop', '<num>ringtone')",1
501,"('<num>ringtone', 'service')",1
502,"('service', 'changed')",1
503,"('changed', 'free')",1
504,"('free', 'credit')",1
505,"('credit', 'club<num>mobilescom')",1
506,"('club<num>mobilescom', 'choose')",1
507,"('choose', 'content')",1
508,"('content', 'stop')",1
509,"('stop', 'text')",15
510,"('text', 'club')",3
511,"('club', 'stop')",1
512,"('stop', '<num>')",13
513,"('<num>', '<num>pwk')",1
514,"('<num>pwk', 'club')",1
515,"('club', 'box<num>')",1
516,"('box<num>', 'mkt')",1
517,"('mkt', 'cwtringtone')",1
518,"('cwtringtone', 'club')",1
519,"('club', 'get')",1
520,"('get', 'single')",1
521,"('single', 'chart')",1
522,"('chart', 'mobile')",1
523,"('mobile', 'week')",1
524,"('week', 'choose')",1
525,"('choose', 'top')",2
526,"('top', 'quality')",2
527,"('quality', 'ringtone')",1
528,"('ringtone', 'message')",1
529,"('message', 'free')",1
530,"('free', 'chargehmm')",1
531,"('chargehmm', 'bonus')",1
532,"('bonus', 'special')",3
533,"('special', 'pound')",3
534,"('pound', 'genuine')",3
535,"('genuine', 'hmm')",3
536,"('hmm', 'voucher')",3
537,"('voucher', 'answer')",3
538,"('answer', 'easy')",3
539,"('easy', 'question')",3
540,"('question', 'play')",3
541,"('play', 'send')",4
542,"('send', 'hmm')",3
543,"('hmm', '<num>')",3
544,"('<num>', 'infowww<num>percentrealcommobile')",1
545,"('infowww<num>percentrealcommobile', 'customer')",1
546,"('customer', 'may')",3
547,"('may', 'claim')",3
548,"('claim', 'free')",5
549,"('free', 'camera')",3
550,"('camera', 'phone')",13
551,"('phone', 'upgrade')",3
552,"('upgrade', 'pay')",1
553,"('pay', 'sim')",1
554,"('sim', 'card')",1
555,"('card', 'loyalty')",1
556,"('loyalty', 'call')",3
557,"('<num>', '<num>offer')",1
558,"('<num>offer', 'end')",1
559,"('end', '<num>thfebtc')",1
560,"('<num>thfebtc', 'applysims')",1
561,"('applysims', 'blind')",1
562,"('blind', 'date')",2
563,"('date', 'road')",1
564,"('road', 'aberdeen')",1
565,"('aberdeen', 'united')",1
566,"('united', 'kingdom')",1
567,"('kingdom', 'check')",1
568,"('check', 'helping')",1
569,"('helping', 'sims')",1
570,"('sims', 'acwicmb<num>cktz<num>r<num>')",1
571,"('acwicmb<num>cktz<num>r<num>', 'blind')",1
572,"('date', 'send')",1
573,"('send', 'hidecheck')",1
574,"('hidecheck', 'newest')",1
575,"('newest', 'selection')",1
576,"('selection', 'content')",1
577,"('content', 'game')",1
578,"('game', 'tone')",1
579,"('tone', 'gossip')",1
580,"('gossip', 'babe')",1
581,"('babe', 'sport')",1
582,"('sport', 'keep')",1
583,"('keep', 'mobile')",1
584,"('mobile', 'fit')",1
585,"('fit', 'funky')",1
586,"('funky', 'text')",1
587,"('text', '<num>think')",1
588,"('<num>think', 'smart')",1
589,"('smart', 'win')",1
590,"('win', '£<num>')",17
591,"('£<num>', 'week')",1
592,"('week', 'weekly')",1
593,"('weekly', 'quiz')",1
594,"('quiz', 'text')",1
595,"('text', 'play')",2
596,"('play', '<num>')",2
597,"('<num>', 'note')",1
598,"('note', 'winnersclub')",1
599,"('winnersclub', 'box')",1
600,"('box', 'luz')",1
601,"('luz', 'gbp<num>weekdecember')",1
602,"('gbp<num>weekdecember', 'mobile')",1
603,"('mobile', 'month')",6
604,"('colour', 'camera')",6
605,"('camera', 'mobile')",6
606,"('free', '<num>call')",1
607,"('<num>call', 'germany')",1
608,"('germany', 'penny')",2
609,"('penny', 'per')",2
610,"('per', 'minute')",7
611,"('minute', 'call')",2
612,"('call', 'fixed')",2
613,"('fixed', 'line')",2
614,"('line', 'via')",2
615,"('via', 'access')",2
616,"('access', 'number')",2
617,"('number', '<num>')",5
618,"('<num>', 'prepayment')",2
619,"('prepayment', 'direct')",2
620,"('direct', 'accessvalentine')",1
621,"('accessvalentine', 'day')",1
622,"('day', 'special')",2
623,"('special', 'win')",2
624,"('£<num>', 'quiz')",2
625,"('quiz', 'take')",2
626,"('take', 'partner')",2
627,"('partner', 'trip')",2
628,"('trip', 'lifetime')",2
629,"('lifetime', 'send')",2
630,"('<num>', '<num>pmsg')",7
631,"('<num>pmsg', 'rcd')",5
632,"('rcd', 'custcare<num>fancy')",1
633,"('custcare<num>fancy', 'shag')",1
634,"('shag', 'interested')",1
635,"('interested', 'sextextukcom')",1
636,"('sextextukcom', 'text')",1
637,"('text', 'xxx')",2
638,"('xxx', 'suzy')",1
639,"('suzy', '<num>')",1
640,"('<num>', 'tit')",3
641,"('tit', 'cost')",1
642,"('cost', 'per')",1
643,"('mag', 'tic')",1
644,"('tic', 'websitecongratulation')",1
645,"('websitecongratulation', 'awarded')",1
646,"('tic', 'wwwldewcom<num>win<num>ppmx<num>age<num>casablanca')",1
647,"('wwwldewcom<num>win<num>ppmx<num>age<num>casablanca', 'currently')",1
648,"('currently', 'pound')",6
649,"('pound', 'maximize')",6
650,"('maximize', 'cashing')",7
651,"('cashing', 'send')",7
652,"('send', 'cash')",2
653,"('<num>pmsg', '<num>')",5
654,"('<num>', 'hgsuite<num>lands')",8
655,"('hgsuite<num>lands', 'roww<num>j<num>hlupdated')",1
656,"('roww<num>j<num>hlupdated', 'xmas')",1
657,"('xmas', 'offer')",1
658,"('offer', 'latest')",2
659,"('latest', 'motorola')",6
660,"('motorola', 'sonyericsson')",5
661,"('sonyericsson', 'nokia')",4
662,"('nokia', 'free')",3
663,"('free', 'bluetooth')",5
664,"('bluetooth', 'double')",2
665,"('double', 'mind')",7
666,"('mind', '<num>')",4
667,"('text', 'orange')",4
668,"('orange', 'call')",2
669,"('call', 'mobileupd<num>')",15
670,"('mobileupd<num>', '<num>')",12
671,"('<num>', 'call<num>optoutf<num>qdiscount')",1
672,"('call<num>optoutf<num>qdiscount', 'code')",1
673,"('code', 'rp<num>')",1
674,"('rp<num>', 'stop')",1
675,"('stop', 'message')",1
676,"('message', 'reply')",2
677,"('stop', 'wwwregalportfoliocouk')",1
678,"('wwwregalportfoliocouk', 'customer')",1
679,"('service', '<num>thanks')",1
680,"('<num>thanks', 'ringtone')",1
681,"('ringtone', 'order')",7
682,"('order', 'reference')",4
683,"('reference', 'charged')",1
684,"('charged', 'gap')",1
685,"('gap', 'per')",1
686,"('per', 'week')",8
687,"('week', 'unsubscribe')",1
688,"('unsubscribe', 'anytime')",1
689,"('anytime', 'calling')",1
690,"('calling', 'customer')",1
691,"('service', '<num>double')",1
692,"('<num>double', 'mind')",2
693,"('mind', 'tit')",5
694,"('tit', 'month')",2
695,"('month', 'free')",3
696,"('bluetooth', 'orange')",2
697,"('orange', 'available')",2
698,"('available', 'sony')",2
699,"('sony', 'nokia')",2
700,"('nokia', 'motorola')",3
701,"('motorola', 'phone')",2
702,"('phone', 'call')",5
703,"('<num>', 'call<num>optoutn<num>dxpath')",1
704,"('call<num>optoutn<num>dxpath', 'half')",1
705,"('half', 'price')",12
706,"('price', 'orange')",4
707,"('orange', 'line')",4
708,"('line', 'rental')",11
709,"('rental', 'latest')",3
710,"('latest', 'camera')",5
711,"('phone', 'free')",7
712,"('free', 'phone')",4
713,"('phone', 'month')",3
714,"('month', 'call')",3
715,"('call', 'mobilesdirect')",3
716,"('mobilesdirect', 'free')",3
717,"('free', '<num>')",13
718,"('<num>', 'update')",3
719,"('update', 'or<num>stoptxtfree')",1
720,"('or<num>stoptxtfree', 'ringtone')",1
721,"('ringtone', 'text')",2
722,"('text', 'first')",3
723,"('first', '<num>')",1
724,"('<num>', 'poly')",1
725,"('poly', 'text')",2
726,"('text', 'get')",1
727,"('get', '<num>')",1
728,"('<num>', 'true')",1
729,"('true', 'tone')",1
730,"('tone', 'help')",1
731,"('help', '<num>')",5
732,"('<num>', 'free')",5
733,"('free', 'tone')",2
734,"('tone', '<num>x£<num>pw')",1
735,"('<num>x£<num>pw', 'end')",1
736,"('end', 'text')",2
737,"('text', 'stopdating')",1
738,"('stopdating', 'service')",1
739,"('service', 'call')",2
740,"('<num>', 'box<num>sk<num>chfree')",1
741,"('box<num>sk<num>chfree', 'entry')",1
742,"('entry', '£<num>')",8
743,"('£<num>', 'weekly')",12
744,"('weekly', 'competition')",1
745,"('competition', 'text')",1
746,"('word', 'win')",2
747,"('win', '<num>')",3
748,"('<num>', 'wwwtxttowincouksend')",1
749,"('wwwtxttowincouksend', 'logo')",1
750,"('logo', 'lover')",2
751,"('lover', 'name')",2
752,"('name', 'joined')",2
753,"('joined', 'heart')",2
754,"('heart', 'text')",2
755,"('text', 'love')",2
756,"('love', 'name')",2
757,"('name', 'name')",2
758,"('name', 'mono')",2
759,"('mono', 'leg')",3
760,"('leg', 'love')",2
761,"('love', 'adam')",2
762,"('adam', 'eve')",2
763,"('eve', '<num>')",2
764,"('<num>', 'yahoo')",2
765,"('yahoo', 'pobox<num>w<num>wq')",2
766,"('pobox<num>w<num>wq', 'totosomeone')",1
767,"('totosomeone', 'contacted')",1
768,"('contacted', 'dating')",3
769,"('dating', 'service')",13
770,"('service', 'entered')",3
771,"('entered', 'phone')",3
772,"('phone', 'fancy')",2
773,"('fancy', 'find')",2
774,"('find', 'call')",6
775,"('<num>', 'pobox<num>n<num>tf<num>purgent')",1
776,"('pobox<num>n<num>tf<num>purgent', 'mobile')",1
777,"('mobile', 'number')",10
778,"('number', 'awarded')",8
779,"('<num>', 'land')",16
780,"('land', 'line')",18
781,"('line', 'claim')",14
782,"('<num>', 'validcongrats')",1
783,"('validcongrats', 'nokia')",1
784,"('<num>', 'video')",2
785,"('video', 'camera')",4
786,"('<num>', 'call')",5
787,"('call', 'cost')",2
788,"('cost', 'ppm')",7
789,"('ppm', 'ave')",2
790,"('ave', 'call')",2
791,"('call', 'mind')",2
792,"('mind', 'vary')",2
793,"('vary', 'mobile')",2
794,"('mobile', 'close')",2
795,"('close', '<num>')",2
796,"('<num>', 'post')",2
797,"('post', 'bcm<num>')",2
798,"('bcm<num>', 'len')",2
799,"('len', 'wc<num>n<num>xxloan')",1
800,"('wc<num>n<num>xxloan', 'purpose')",1
801,"('purpose', '£<num>')",3
802,"('£<num>', '£<num>')",3
803,"('£<num>', 'homeowner')",3
804,"('homeowner', 'tenant')",3
805,"('tenant', 'welcome')",4
806,"('welcome', 'previously')",3
807,"('previously', 'refused')",3
808,"('refused', 'still')",3
809,"('still', 'help')",3
810,"('help', 'call')",5
811,"('call', 'free')",9
812,"('text', 'back')",9
813,"('back', 'helpupgrdcentre')",1
814,"('helpupgrdcentre', 'orange')",1
815,"('orange', 'customer')",1
816,"('upgrade', 'loyalty')",2
817,"('<num>', 'offer')",3
818,"('offer', 'end')",3
819,"('end', 'july')",1
820,"('july', 'apply')",1
821,"('apply', 'output')",2
822,"('output', 'availableemail')",1
823,"('availableemail', 'dear')",1
824,"('dear', 'dave')",1
825,"('dave', 'final')",2
826,"('final', 'notice')",2
827,"('notice', 'collect')",2
828,"('collect', 'tenerife')",2
829,"('tenerife', 'holiday')",7
830,"('holiday', '<num>')",5
831,"('<num>', 'cash')",5
832,"('cash', 'award')",2
833,"('award', 'call')",7
834,"('<num>', 'landline')",19
835,"('landline', 'see')",2
836,"('see', 'box')",13
837,"('box', 'cw<num>wx')",4
838,"('cw<num>wx', 'ppmwant')",1
839,"('ppmwant', 'get')",1
840,"('toting', 'moan')",1
841,"('moan', '<num>nyt')",1
842,"('<num>nyt', 'echo')",1
843,"('echo', '<num>pmsg<num>pfree')",1
844,"('<num>pmsg<num>pfree', 'message')",1
845,"('message', 'activate')",3
846,"('activate', 'free')",2
847,"('message', 'replying')",2
848,"('replying', 'message')",2
849,"('message', 'word')",2
850,"('word', 'free')",2
851,"('free', 'term')",2
