,trigrams,count
91,"('finish', 'lunch', 'alreadyffffffffff')",1
92,"('lunch', 'alreadyffffffffff', 'alright')",1
93,"('alreadyffffffffff', 'alright', 'way')",1
94,"('alright', 'way', 'meet')",1
95,"('way', 'meet', 'soonerforced')",1
96,"('meet', 'soonerforced', 'eat')",1
97,"('soonerforced', 'eat', 'slice')",1
98,"('eat', 'slice', 'really')",1
99,"('slice', 'really', 'hungry')",1
100,"('really', 'hungry', 'tho')",1
101,"('hungry', 'tho', 'suck')",1
102,"('tho', 'suck', 'mark')",1
103,"('suck', 'mark', 'getting')",1
104,"('mark', 'getting', 'worried')",1
105,"('getting', 'worried', 'know')",2
106,"('worried', 'know', 'sick')",1
107,"('know', 'sick', 'turn')",1
108,"('sick', 'turn', 'pizza')",1
109,"('turn', 'pizza', 'lowlow')",1
110,"('pizza', 'lowlow', 'always')",1
111,"('lowlow', 'always', 'convincingcatch')",1
112,"('always', 'convincingcatch', 'bus')",1
113,"('convincingcatch', 'bus', 'frying')",1
114,"('bus', 'frying', 'egg')",1
115,"('frying', 'egg', 'make')",1
116,"('egg', 'make', 'tea')",1
117,"('make', 'tea', 'eating')",1
118,"('tea', 'eating', 'mon')",1
119,"('eating', 'mon', 'left')",1
120,"('mon', 'left', 'dinner')",1
121,"('left', 'dinner', 'feel')",1
122,"('dinner', 'feel', 'loveback')",1
123,"('feel', 'loveback', 'amp')",1
124,"('loveback', 'amp', 'packing')",1
125,"('amp', 'packing', 'car')",1
126,"('packing', 'car', 'let')",1
127,"('car', 'let', 'know')",1
128,"('let', 'know', 'roomarch')",1
129,"('know', 'roomarch', 'work')",1
130,"('roomarch', 'work', 'vaguely')",1
131,"('work', 'vaguely', 'remember')",1
132,"('vaguely', 'remember', 'feel')",1
133,"('remember', 'feel', 'like')",1
134,"('feel', 'like', 'lowwait')",1
135,"('like', 'lowwait', 'still')",1
136,"('lowwait', 'still', 'clear')",1
137,"('still', 'clear', 'sure')",1
138,"('clear', 'sure', 'sarcastic')",1
139,"('sure', 'sarcastic', 'want')",1
140,"('sarcastic', 'want', 'liveyeah')",1
141,"('want', 'liveyeah', 'got')",1
142,"('liveyeah', 'got', 'apologetic')",1
143,"('got', 'apologetic', 'fallen')",1
144,"('apologetic', 'fallen', 'actin')",1
145,"('fallen', 'actin', 'like')",1
146,"('actin', 'like', 'spoilt')",1
147,"('like', 'spoilt', 'child')",1
148,"('spoilt', 'child', 'got')",1
149,"('child', 'got', 'caught')",1
150,"('got', 'caught', 'till')",1
151,"('caught', 'till', 'badly')",1
152,"('till', 'badly', 'cheertell')",1
153,"('badly', 'cheertell', 'anythingfear')",1
154,"('cheertell', 'anythingfear', 'fainting')",1
155,"('anythingfear', 'fainting', 'housework')",1
156,"('fainting', 'housework', 'quick')",1
157,"('housework', 'quick', 'cuppayup')",1
158,"('quick', 'cuppayup', 'home')",1
159,"('cuppayup', 'home', 'look')",1
160,"('home', 'look', 'timing')",1
161,"('look', 'timing', 'mag')",1
162,"('timing', 'mag', 'hui')",1
163,"('mag', 'hui', 'going')",1
164,"('hui', 'going', 'learn')",1
165,"('going', 'learn', 'may')",1
166,"('learn', 'may', 'lessonoops')",1
167,"('may', 'lessonoops', 'let')",1
168,"('lessonoops', 'let', 'know')",1
169,"('let', 'know', 'roommate')",1
170,"('know', 'roommate', 'donesee')",1
171,"('roommate', 'donesee', 'letter')",1
172,"('donesee', 'letter', 'caranything')",1
173,"('letter', 'caranything', 'decidehello')",1
174,"('caranything', 'decidehello', 'saturday')",1
175,"('decidehello', 'saturday', 'texting')",1
176,"('saturday', 'texting', 'see')",1
177,"('texting', 'see', 'would')",1
178,"('see', 'would', 'decided')",1
179,"('would', 'decided', 'anything')",1
180,"('decided', 'anything', 'trying')",1
181,"('anything', 'trying', 'invite')",1
182,"('trying', 'invite', 'anythingplus')",1
183,"('invite', 'anythingplus', 'ahead')",1
184,"('anythingplus', 'ahead', 'watt')",1
185,"('ahead', 'watt', 'wanted')",1
186,"('watt', 'wanted', 'sure')",1
187,"('wanted', 'sure', 'great')",1
188,"('sure', 'great', 'weekend')",1
189,"('great', 'weekend', 'biolforget')",1
190,"('weekend', 'biolforget', 'tell')",1
191,"('biolforget', 'tell', 'want')",1
192,"('tell', 'want', 'need')",1
193,"('want', 'need', 'crave')",1
194,"('need', 'crave', 'love')",1
195,"('crave', 'love', 'sweet')",1
196,"('love', 'sweet', 'arabian')",1
197,"('sweet', 'arabian', 'steed')",1
198,"('arabian', 'steed', 'mommy')",1
199,"('steed', 'mommy', 'yummyseeinggreat')",1
200,"('mommy', 'yummyseeinggreat', 'hope')",1
201,"('yummyseeinggreat', 'hope', 'like')",1
202,"('hope', 'like', 'man')",1
203,"('like', 'man', 'well')",1
204,"('man', 'well', 'endowed')",1
205,"('well', 'endowed', 'list')",1
206,"('endowed', 'list', 'inchcallsmessagesmissed')",1
207,"('list', 'inchcallsmessagesmissed', 'callget')",1
208,"('inchcallsmessagesmissed', 'callget', 'hep')",1
209,"('callget', 'hep', 'immunisation')",1
210,"('hep', 'immunisation', 'nigeriafair')",1
211,"('immunisation', 'nigeriafair', 'enough')",1
212,"('nigeriafair', 'enough', 'anything')",1
213,"('enough', 'anything', 'goingyeah')",1
214,"('anything', 'goingyeah', 'hopefully')",1
215,"('goingyeah', 'hopefully', 'tyler')",1
216,"('hopefully', 'tyler', 'cannot')",1
217,"('tyler', 'cannot', 'could')",1
218,"('cannot', 'could', 'maybe')",1
219,"('could', 'maybe', 'ask')",1
220,"('maybe', 'ask', 'around')",1
221,"('ask', 'around', 'bitknow')",1
222,"('around', 'bitknow', 'stubborn')",1
223,"('bitknow', 'stubborn', 'even')",1
224,"('stubborn', 'even', 'want')",1
225,"('even', 'want', 'hospital')",1
226,"('want', 'hospital', 'kept')",1
227,"('hospital', 'kept', 'telling')",1
228,"('kept', 'telling', 'mark')",1
229,"('telling', 'mark', 'weak')",1
230,"('mark', 'weak', 'sucker')",1
231,"('weak', 'sucker', 'hospital')",1
232,"('sucker', 'hospital', 'weak')",1
233,"('hospital', 'weak', 'suckerthanked')",1
234,"('weak', 'suckerthanked', 'first')",1
235,"('suckerthanked', 'first', 'time')",1
236,"('first', 'time', 'saw')",1
237,"('time', 'saw', 'classgram')",1
238,"('saw', 'classgram', 'usually')",1
239,"('classgram', 'usually', 'run')",1
240,"('usually', 'run', 'like')",1
241,"('run', 'like', 'list')",1
242,"('like', 'list', 'half')",1
243,"('list', 'half', 'eighth')",1
244,"('half', 'eighth', 'smarter')",1
245,"('eighth', 'smarter', 'though')",1
246,"('smarter', 'though', 'get')",1
247,"('though', 'get', 'almost')",1
248,"('get', 'almost', 'whole')",1
249,"('almost', 'whole', 'second')",1
250,"('whole', 'second', 'gram')",1
251,"('second', 'gram', 'listfri')",1
252,"('gram', 'listfri', 'ride')",1
253,"('listfri', 'ride', 'early')",1
254,"('ride', 'early', 'tomorrow')",1
255,"('early', 'tomorrow', 'morning')",1
256,"('tomorrow', 'morning', 'crashing')",1
257,"('morning', 'crashing', 'place')",1
258,"('crashing', 'place', 'tonightwow')",1
259,"('place', 'tonightwow', 'never')",1
260,"('tonightwow', 'never', 'realized')",1
261,"('never', 'realized', 'embarrassed')",1
262,"('realized', 'embarrassed', 'accommodation')",1
263,"('embarrassed', 'accommodation', 'thought')",1
264,"('accommodation', 'thought', 'liked')",1
265,"('thought', 'liked', 'since')",1
266,"('liked', 'since', 'best')",1
267,"('since', 'best', 'could')",1
268,"('best', 'could', 'always')",1
269,"('could', 'always', 'seemed')",1
270,"('always', 'seemed', 'happy')",1
271,"('seemed', 'happy', 'cave')",1
272,"('happy', 'cave', 'sorry')",1
273,"('cave', 'sorry', 'give')",1
274,"('sorry', 'give', 'sorry')",1
275,"('give', 'sorry', 'offered')",1
276,"('sorry', 'offered', 'sorry')",1
277,"('offered', 'sorry', 'room')",1
278,"('sorry', 'room', 'embarrassingknow')",1
279,"('room', 'embarrassingknow', 'gallia')",1
280,"('embarrassingknow', 'gallia', 'sherman')",1
281,"('gallia', 'sherman', 'yesterday')",1
282,"('sherman', 'yesterday', 'find')",1
283,"('yesterday', 'find', 'laurentsorry')",1
284,"('find', 'laurentsorry', 'call')",1
285,"('laurentsorry', 'call', 'later')",1
286,"('call', 'later', 'meetingtell')",1
287,"('later', 'meetingtell', 'reachedyesgauti')",1
288,"('meetingtell', 'reachedyesgauti', 'sewage')",1
289,"('reachedyesgauti', 'sewage', 'odd')",1
290,"('sewage', 'odd', 'seriesgonna')",1
291,"('odd', 'seriesgonna', 'pick')",1
292,"('seriesgonna', 'pick', 'burger')",1
293,"('pick', 'burger', 'way')",1
294,"('burger', 'way', 'home')",1
295,"('way', 'home', 'cannot')",1
296,"('home', 'cannot', 'even')",1
297,"('cannot', 'even', 'move')",1
298,"('even', 'move', 'pain')",1
299,"('move', 'pain', 'killinggood')",1
300,"('pain', 'killinggood', 'joke')",1
301,"('killinggood', 'joke', 'girl')",1
302,"('joke', 'girl', 'situation')",1
303,"('girl', 'situation', 'seekerpart')",1
304,"('situation', 'seekerpart', 'checkingsorry')",1
305,"('seekerpart', 'checkingsorry', 'roommate')",1
306,"('checkingsorry', 'roommate', 'took')",1
307,"('roommate', 'took', 'forever')",1
308,"('took', 'forever', 'comelar')",1
309,"('forever', 'comelar', 'double')",1
310,"('comelar', 'double', 'check')",1
311,"('double', 'check', 'hair')",1
312,"('check', 'hair', 'dresser')",1
313,"('hair', 'dresser', 'already')",1
314,"('dresser', 'already', 'said')",1
315,"('already', 'said', 'sun')",1
316,"('said', 'sun', 'cut')",1
317,"('sun', 'cut', 'short')",1
318,"('cut', 'short', 'said')",1
319,"('short', 'said', 'cut')",1
320,"('said', 'cut', 'look')",1
321,"('cut', 'look', 'nicetoday')",1
322,"('look', 'nicetoday', 'song')",1
323,"('nicetoday', 'song', 'dedicated')",1
324,"('song', 'dedicated', 'day')",2
325,"('dedicated', 'day', 'song')",2
326,"('day', 'song', 'dedicate')",2
327,"('song', 'dedicate', 'send')",2
328,"('dedicate', 'send', 'valuable')",2
329,"('send', 'valuable', 'fund')",2
330,"('valuable', 'fund', 'first')",2
331,"('fund', 'first', 'replyplane')",1
332,"('first', 'replyplane', 'give')",1
333,"('replyplane', 'give', 'month')",1
334,"('give', 'month', 'endlucky')",1
335,"('month', 'endlucky', 'man')",1
336,"('endlucky', 'man', 'save')",1
337,"('man', 'save', 'moneyfinished')",1
338,"('save', 'moneyfinished', 'classbabe')",1
339,"('moneyfinished', 'classbabe', 'home')",1
340,"('classbabe', 'home', 'wanna')",1
341,"('home', 'wanna', 'something')",2
342,"('wanna', 'something', 'xxxperformedcallwaiting')",1
343,"('something', 'xxxperformedcallwaiting', 'machine')",1
344,"('xxxperformedcallwaiting', 'machine', 'call')",1
345,"('machine', 'call', 'freecool')",1
346,"('call', 'freecool', 'gentleman')",1
347,"('freecool', 'gentleman', 'treat')",1
348,"('gentleman', 'treat', 'dignity')",2
349,"('treat', 'dignity', 'respectlike')",1
350,"('dignity', 'respectlike', 'people')",1
351,"('respectlike', 'people', 'much')",1
352,"('people', 'much', 'shyoperate')",1
353,"('much', 'shyoperate', 'liststill')",1
354,"('shyoperate', 'liststill', 'looking')",1
355,"('liststill', 'looking', 'job')",1
356,"('looking', 'job', 'much')",1
357,"('job', 'much', 'earnsorry')",1
358,"('much', 'earnsorry', 'call')",1
359,"('earnsorry', 'call', 'latercallway')",1
360,"('call', 'latercallway', 'homeplace')",1
361,"('latercallway', 'homeplace', 'manyup')",1
362,"('homeplace', 'manyup', 'next')",1
363,"('manyup', 'next', 'stopcall')",1
364,"('next', 'stopcall', 'later')",1
365,"('stopcall', 'later', 'network')",1
366,"('later', 'network', 'urgent')",2
367,"('network', 'urgent', 'simsreal')",1
368,"('urgent', 'simsreal', 'getting')",1
369,"('simsreal', 'getting', 'need')",1
370,"('getting', 'need', 'ticket')",1
371,"('need', 'ticket', 'one')",1
372,"('ticket', 'one', 'jacket')",1
373,"('one', 'jacket', 'done')",1
374,"('jacket', 'done', 'already')",1
375,"('done', 'already', 'used')",1
376,"('already', 'used', 'multiyes')",1
377,"('used', 'multiyes', 'started')",1
378,"('multiyes', 'started', 'send')",1
379,"('started', 'send', 'request')",1
380,"('send', 'request', 'make')",1
381,"('request', 'make', 'pain')",1
382,"('make', 'pain', 'came')",1
383,"('pain', 'came', 'back')",1
384,"('came', 'back', 'back')",1
385,"('back', 'back', 'bed')",1
386,"('back', 'bed', 'double')",1
387,"('bed', 'double', 'coin')",1
388,"('double', 'coin', 'factory')",1
389,"('coin', 'factory', 'gotta')",1
390,"('factory', 'gotta', 'cash')",1
391,"('gotta', 'cash', 'nitroreally')",1
392,"('cash', 'nitroreally', 'still')",1
393,"('nitroreally', 'still', 'tonight')",1
394,"('still', 'tonight', 'babehanoi')",1
395,"('tonight', 'babehanoi', 'download')",1
396,"('babehanoi', 'download', 'come')",1
397,"('download', 'come', 'wen')",1
398,"('come', 'wen', 'freeyeah')",1
399,"('wen', 'freeyeah', 'stand')",1
400,"('freeyeah', 'stand', 'close')",1
401,"('stand', 'close', 'tho')",1
402,"('close', 'tho', 'catch')",1
403,"('tho', 'catch', 'somethingsorry')",1
404,"('catch', 'somethingsorry', 'pain')",1
405,"('somethingsorry', 'pain', 'meet')",1
406,"('pain', 'meet', 'another')",1
407,"('meet', 'another', 'night')",1
408,"('another', 'night', 'spent')",1
409,"('night', 'spent', 'late')",1
410,"('spent', 'late', 'afternoon')",1
411,"('late', 'afternoon', 'casualty')",1
412,"('afternoon', 'casualty', 'mean')",1
413,"('casualty', 'mean', 'done')",1
414,"('mean', 'done', 'stuff<num>moro')",1
415,"('done', 'stuff<num>moro', 'includes')",1
416,"('stuff<num>moro', 'includes', 'time')",1
417,"('includes', 'time', 'sheet')",1
418,"('time', 'sheet', 'sorrysmile')",1
419,"('sheet', 'sorrysmile', 'pleasure')",1
420,"('sorrysmile', 'pleasure', 'smile')",1
421,"('pleasure', 'smile', 'pain')",2
422,"('smile', 'pain', 'smile')",2
423,"('pain', 'smile', 'trouble')",2
424,"('smile', 'trouble', 'pours')",2
425,"('trouble', 'pours', 'like')",2
426,"('pours', 'like', 'rain')",2
427,"('like', 'rain', 'smile')",2
428,"('rain', 'smile', 'sum')",2
429,"('smile', 'sum', 'hurt')",2
430,"('sum', 'hurt', 'smile')",2
431,"('hurt', 'smile', 'someone')",2
432,"('smile', 'someone', 'still')",2
433,"('someone', 'still', 'love')",2
434,"('still', 'love', 'see')",2
435,"('love', 'see', 'smilingplanning')",1
436,"('see', 'smilingplanning', 'buy')",1
437,"('smilingplanning', 'buy', 'later')",1
438,"('buy', 'later', 'check')",1
439,"('later', 'check', 'already')",1
440,"('check', 'already', 'lido')",1
441,"('already', 'lido', 'got')",1
442,"('lido', 'got', 'show')",1
443,"('got', 'show', 'afternoon')",1
444,"('show', 'afternoon', 'finish')",1
445,"('afternoon', 'finish', 'work')",1
446,"('finish', 'work', 'alreadywatching')",1
447,"('work', 'alreadywatching', 'telugu')",1
448,"('alreadywatching', 'telugu', 'moviesee')",1
449,"('telugu', 'moviesee', 'finish')",1
450,"('moviesee', 'finish', 'load')",1
451,"('finish', 'load', 'loan')",1
452,"('load', 'loan', 'payhols')",1
453,"('loan', 'payhols', 'yes')",1
454,"('payhols', 'yes', 'bit')",1
455,"('yes', 'bit', 'run')",1
456,"('bit', 'run', 'forgot')",1
457,"('run', 'forgot', 'hairdresser')",1
458,"('forgot', 'hairdresser', 'appointment')",1
459,"('hairdresser', 'appointment', 'four')",1
460,"('appointment', 'four', 'need')",1
461,"('four', 'need', 'get')",1
462,"('need', 'get', 'home')",1
463,"('get', 'home', 'shower')",1
464,"('home', 'shower', 'beforehand')",1
465,"('shower', 'beforehand', 'cause')",1
466,"('beforehand', 'cause', 'probsee')",1
467,"('cause', 'probsee', 'cup')",1
468,"('probsee', 'cup', 'coffee')",1
469,"('cup', 'coffee', 'animationplease')",1
470,"('coffee', 'animationplease', 'text')",1
471,"('animationplease', 'text', 'anymore')",1
472,"('text', 'anymore', 'nothing')",1
473,"('anymore', 'nothing', 'else')",1
474,"('nothing', 'else', 'sayokay')",1
475,"('else', 'sayokay', 'name')",1
476,"('sayokay', 'name', 'price')",1
477,"('name', 'price', 'long')",1
478,"('price', 'long', 'legal')",1
479,"('long', 'legal', 'wen')",1
480,"('legal', 'wen', 'pick')",1
481,"('wen', 'pick', 'ave')",1
482,"('pick', 'ave', 'xxxstill')",1
483,"('ave', 'xxxstill', 'looking')",1
484,"('xxxstill', 'looking', 'car')",1
485,"('looking', 'car', 'buy')",1
486,"('car', 'buy', 'gone')",1
487,"('buy', 'gone', 'driving')",1
488,"('gone', 'driving', 'test')",1
489,"('driving', 'test', 'yetper')",1
490,"('test', 'yetper', 'request')",1
491,"('yetper', 'request', 'smell')",1
492,"('copy', 'friend', 'callertunewow')",1
493,"('friend', 'callertunewow', 'right')",1
494,"('callertunewow', 'right', 'mean')",1
495,"('right', 'mean', 'guess')",1
496,"('mean', 'guess', 'gave')",1
497,"('guess', 'gave', 'boston')",1
498,"('gave', 'boston', 'men')",1
499,"('boston', 'men', 'changed')",1
500,"('men', 'changed', 'search')",1
501,"('changed', 'search', 'location')",1
502,"('search', 'location', 'nyx')",1
503,"('location', 'nyx', 'something')",1
504,"('nyx', 'something', 'changed')",1
505,"('something', 'changed', 'cut')",1
506,"('changed', 'cut', 'signing')",1
507,"('cut', 'signing', 'page')",1
508,"('signing', 'page', 'still')",1
509,"('page', 'still', 'say')",1
510,"('still', 'say', 'bostonemma')",1
511,"('say', 'bostonemma', 'life')",1
512,"('bostonemma', 'life', 'java')",1
513,"('life', 'java', 'emma')",1
514,"('java', 'emma', 'love')",1
515,"('emma', 'love', 'lot')",1
516,"('love', 'lot', 'dearthanks')",1
517,"('lot', 'dearthanks', 'lot')",1
518,"('dearthanks', 'lot', 'wish')",1
519,"('lot', 'wish', 'birthday')",1
520,"('wish', 'birthday', 'thanks')",1
521,"('birthday', 'thanks', 'making')",1
522,"('thanks', 'making', 'birthday')",1
523,"('making', 'birthday', 'truly')",1
524,"('birthday', 'truly', 'memorableright')",1
525,"('truly', 'memorableright', 'hit')",1
526,"('memorableright', 'hit', 'get')",1
527,"('hit', 'get', 'cashwould')",1
528,"('get', 'cashwould', 'address')",1
529,"('cashwould', 'address', 'test')",1
530,"('address', 'test', 'considering')",1
531,"('test', 'considering', 'computer')",1
532,"('considering', 'computer', 'mineshaft')",1
533,"('computer', 'mineshaft', 'serverknow')",1
534,"('mineshaft', 'serverknow', 'grumpy')",1
535,"('serverknow', 'grumpy', 'old')",1
536,"('grumpy', 'old', 'people')",1
537,"('old', 'people', 'mon')",1
538,"('people', 'mon', 'like')",1
539,"('mon', 'like', 'better')",1
540,"('like', 'better', 'lying')",1
541,"('better', 'lying', 'always')",1
542,"('lying', 'always', 'one')",1
543,"('always', 'one', 'play')",1
544,"('one', 'play', 'jokedone')",1
545,"('play', 'jokedone', 'worry')",1
546,"('jokedone', 'worry', 'guess')",1
547,"('worry', 'guess', 'busyplural')",1
548,"('guess', 'busyplural', 'noun')",1
549,"('busyplural', 'noun', 'researchgoing')",1
550,"('noun', 'researchgoing', 'dinnerlike')",1
551,"('researchgoing', 'dinnerlike', 'try')",1
552,"('dinnerlike', 'try', 'new')",1
553,"('try', 'new', 'thing')",1
554,"('new', 'thing', 'scared')",1
555,"('thing', 'scared', 'dun')",1
556,"('scared', 'dun', 'like')",1
557,"('dun', 'like', 'may')",1
558,"('like', 'may', 'said')",1
559,"('may', 'said', 'loudopening')",1
560,"('said', 'loudopening', 'sentence')",1
561,"('loudopening', 'sentence', 'formal')",1
562,"('sentence', 'formal', 'anyway')",1
563,"('formal', 'anyway', 'fine')",1
564,"('anyway', 'fine', 'jul')",1
565,"('fine', 'jul', 'latin')",1
566,"('jul', 'latin', 'much')",1
567,"('latin', 'much', 'putting')",1
568,"('much', 'putting', 'weighthaha')",1
569,"('putting', 'weighthaha', 'anything')",1
570,"('weighthaha', 'anything', 'special')",1
571,"('anything', 'special', 'happenedentered')",1
572,"('special', 'happenedentered', 'cabin')",1
573,"('happenedentered', 'cabin', 'said')",1
574,"('cabin', 'said', 'happy')",5
575,"('said', 'happy', 'would')",5
576,"('happy', 'would', 'bos')",5
577,"('would', 'bos', 'felt')",5
578,"('bos', 'felt', 'special')",5
579,"('felt', 'special', 'ask')",5
580,"('special', 'ask', 'lunch')",5
581,"('ask', 'lunch', 'lunch')",5
582,"('lunch', 'lunch', 'invited')",5
583,"('lunch', 'invited', 'apartment')",5
584,"('invited', 'apartment', 'wentgood')",1
585,"('apartment', 'wentgood', 'yes')",1
586,"('wentgood', 'yes', 'must')",1
587,"('yes', 'must', 'speak')",1
588,"('must', 'speak', 'friday')",1
589,"('speak', 'friday', 'potato')",1
590,"('friday', 'potato', 'ratio')",1
591,"('potato', 'ratio', 'tortilla')",1
592,"('ratio', 'tortilla', 'neededhammy')",1
593,"('tortilla', 'neededhammy', 'uncle')",1
594,"('neededhammy', 'uncle', 'informed')",1
595,"('uncle', 'informed', 'paying')",1
596,"('informed', 'paying', 'school')",1
597,"('paying', 'school', 'directly')",1
598,"('school', 'directly', 'plus')",1
599,"('directly', 'plus', 'buy')",1
600,"('plus', 'buy', 'foodnew')",1
601,"('buy', 'foodnew', 'address')",1
602,"('foodnew', 'address', 'applespairsall')",1
603,"('address', 'applespairsall', 'malarkeygoing')",1
604,"('applespairsall', 'malarkeygoing', 'today')",1
605,"('malarkeygoing', 'today', 'donepredict')",1
606,"('today', 'donepredict', 'wat')",1
607,"('donepredict', 'wat', 'time')",1
608,"('wat', 'time', 'finish')",1
609,"('time', 'finish', 'buyinggood')",1
610,"('finish', 'buyinggood', 'stuffknowyetunde')",1
611,"('buyinggood', 'stuffknowyetunde', 'sent')",1
612,"('stuffknowyetunde', 'sent', 'money')",1
613,"('sent', 'money', 'yet')",1
614,"('money', 'yet', 'sent')",1
615,"('yet', 'sent', 'text')",1
616,"('sent', 'text', 'bother')",1
617,"('text', 'bother', 'sending')",1
618,"('bother', 'sending', 'done')",1
619,"('sending', 'done', 'involve')",1
620,"('done', 'involve', 'anything')",1
621,"('involve', 'anything', 'imposed')",1
622,"('anything', 'imposed', 'anything')",1
623,"('imposed', 'anything', 'first')",1
624,"('anything', 'first', 'place')",1
625,"('first', 'place', 'apologiseroomhey')",1
626,"('place', 'apologiseroomhey', 'girl')",1
627,"('apologiseroomhey', 'girl', 'hope')",1
628,"('girl', 'hope', 'well')",1
629,"('hope', 'well', 'del')",1
630,"('well', 'del', 'back')",1
631,"('del', 'back', 'long')",1
632,"('back', 'long', 'time')",1
633,"('long', 'time', 'give')",1
634,"('time', 'give', 'call')",2
635,"('give', 'call', 'sum')",1
636,"('call', 'sum', 'time')",1
637,"('sum', 'time', 'lucymuch')",1
638,"('time', 'lucymuch', 'costhomedear')",1
639,"('lucymuch', 'costhomedear', 'call')",1
640,"('costhomedear', 'call', 'tomorrow')",1
641,"('call', 'tomorrow', 'accommodatefirst')",1
642,"('tomorrow', 'accommodatefirst', 'answer')",1
643,"('accommodatefirst', 'answer', 'questionman')",1
644,"('answer', 'questionman', 'yijuehotmailcomcall')",1
645,"('questionman', 'yijuehotmailcomcall', 'meetcheck')",1
646,"('yijuehotmailcomcall', 'meetcheck', 'room')",1
647,"('meetcheck', 'room', 'activitygot')",1
648,"('room', 'activitygot', 'lazy')",1
649,"('activitygot', 'lazy', 'type')",1
650,"('lazy', 'type', 'forgot')",1
651,"('type', 'forgot', 'lect')",1
652,"('forgot', 'lect', 'saw')",1
653,"('lect', 'saw', 'pouch')",1
654,"('saw', 'pouch', 'like')",1
655,"('pouch', 'like', 'nicetext')",1
656,"('like', 'nicetext', 'waysir')",1
657,"('nicetext', 'waysir', 'waiting')",1
658,"('waysir', 'waiting', 'mailset')",1
659,"('waiting', 'mailset', 'thought')",1
660,"('mailset', 'thought', 'get')",1
